MAPLEDURWELL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU685509,Long,-1.01926,Lat,51.25379,Elevation,270,ft,,,,,,,,,,,,
Station no,RR7960,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.72,5.55,0.77,1.37,0.82,2.57,1.25,3.54,4.11,0.75,,,,,
February,,,,,,0.73,2.62,1.59,1.43,0.54,4.26,1.68,2.39,0.94,4.62,,,,,
March,,,,,,4.5,1.52,0.95,3.47,3.86,1.18,1.75,3.77,3.39,4.53,,,,,
April,,,,,,1.64,0.38,4.65,3.96,1.6,2.23,1.62,0.21,3.28,1.17,,,,,
May,,,,,,1.06,1.48,1.93,1.86,1.44,1.93,3.06,1.59,2.17,1.37,,,,,
June,,,,,,4.48,2.02,2.81,0.96,4.69,4.45,1.79,3.06,0.85,0.54,,,,,
July,,,,,,0.48,0.47,1.37,1.83,2.62,1.71,0.45,1.76,2.54,1.67,,,,,
August,,,,,,2.89,1.35,2.46,3.46,1.54,2.2,0.74,5.1,1.52,1.56,,,,,
September,,,,,,1.18,1.07,0.42,1.85,2.42,0.52,1.16,2.53,2.27,1.04,,,,,
October,,,,,,2.38,5.66,5.66,1.6,5.42,4.24,3.45,3.72,3.94,1.96,,,,,
November,,,,,,3.33,4.24,2.49,0.81,0.66,3.26,4.4,3.23,3.18,,,,,,
December,,,,,,0.66,1.84,4.38,2.61,3.53,5.61,7.8,4.77,1.52,8.24,,,,,
Total,,,,,,24.05,28.2,29.48,25.21,29.14,34.16,29.15,35.67,29.71,,,,,,
,,,,,,,,,,,,,,,,,,,,
1914 Mar June July Dec have question marks beside them,,,,,,,,,,,,,,,,,,,,
