BILLINGBOROUGH,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF118343,Long,-0.340,Lat,52.895,Elevation,50,ft,,,,,,,,,,,,,,,,
Station no,2533/5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.50,2.22,4.93,1.70,2.51,2.39,3.84,2.26,1.73,1.34,2.18,4.50,1.12,0.90,3.10,1.84,0.86,1.12,2.73,4.75,1.08,3.00,3.22,4.16
February,2.67,1.30,0.61,2.55,2.69,0.85,0.46,2.16,1.68,2.38,1.19,0.84,0.71,3.12,3.85,0.22,1.67,2.50,2.84,0.70,3.40,3.46,0.25,2.26
March,2.25,0.18,1.94,1.72,3.56,1.34,0.44,0.16,0.50,1.14,4.06,0.46,0.87,0.68,3.51,3.08,0.74,1.36,2.15,0.77,1.35,1.78,2.21,1.37
April,2.25,0.12,1.70,0.99,1.10,0.75,0.65,2.14,1.18,1.26,2.05,2.03,1.87,2.07,2.03,1.23,1.66,0.71,0.99,1.47,0.14,0.41,2.09,0.33
May,3.99,2.13,0.73,1.11,2.66,3.53,2.27,0.89,0.99,1.30,0.64,2.48,2.14,3.13,4.16,2.53,2.87,3.09,3.12,0.97,1.82,2.14,0.53,0.87
June,2.13,0.89,1.69,0.78,0.34,1.18,1.59,2.04,1.39,4.12,2.96,3.69,0.67,1.57,1.20,1.34,2.93,2.00,3.26,2.79,1.23,4.85,0.58,0.64
July,1.87,2.39,2.15,3.50,4.96,1.84,1.24,1.79,2.03,1.88,1.69,1.51,2.24,3.23,1.00,0.14,1.40,1.53,0.25,3.40,3.40,4.06,2.08,3.24
August,0.42,1.98,2.49,0.19,4.05,2.87,1.73,4.15,1.69,3.31,0.06,2.16,1.56,1.16,4.31,2.32,2.05,3.67,0.75,4.72,2.17,2.89,1.08,2.93
September,0.78,2.03,1.18,0.35,0.71,1.71,2.33,3.94,0.91,2.98,0.93,2.32,1.56,2.43,1.07,1.26,0.72,2.27,0.78,1.41,4.87,1.53,0.10,2.75
October,2.30,1.94,3.51,2.90,2.79,2.01,1.21,2.08,2.32,2.62,0.18,1.37,4.98,0.88,0.88,3.39,2.33,2.73,1.36,0.92,1.05,1.53,1.05,6.14
November,1.56,2.06,3.17,5.11,3.01,2.63,1.35,3.06,0.31,4.55,1.30,1.53,2.68,3.72,4.75,2.38,1.86,4.69,1.33,0.70,1.88,1.21,2.16,3.42
December,2.06,4.06,1.98,1.80,0.38,1.19,0.83,1.25,2.13,2.88,1.80,3.16,1.50,1.38,1.51,1.95,0.70,2.34,1.62,1.65,2.12,3.20,3.51,4.14
Total,25.78,21.30,26.08,22.70,28.76,22.29,17.94,25.92,16.86,29.76,19.04,26.05,21.90,24.27,31.37,21.68,19.79,28.01,21.18,24.25,24.51,30.06,18.86,32.25
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/093,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/177,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/179,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The January and February 1940 figures are identified on the sheet as a part-estimate due to snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference on the 1950s sheet doesn't match the church and railway directions - ignored.,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1981 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
