"SOUTH BRENT GREAT AISH",,,,,,,,,,,,
Grid ref,SX691607,Long,-3.844411,Lat,50.431520,,,,,,,
Station no,1677,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.75,5.91,4.31,8.41,10.54,3.42,11.53,2.80,4.27,3.43,,
February,11.01,2.10,3.12,3.89,10.71,1.95,7.61,3.74,4.13,0.99,,
March,2.79,5.46,3.60,8.84,4.11,9.66,2.95,2.49,5.97,10.76,,
April,2.66,7.47,3.33,2.95,3.41,4.55,1.50,9.14,4.43,3.25,,
May,3.08,2.07,2.33,2.90,5.66,1.19,6.01,5.61,3.29,1.86,,
June,6.27,3.01,3.52,1.77,2.22,3.90,2.43,6.01,1.08,4.16,,
July,1.10,2.20,3.36,6.23,5.85,1.25,1.64,2.60,4.48,6.03,,
August,5.20,3.52,4.07,7.21,3.99,6.80,3.56,3.89,8.64,3.16,,
September,2.83,5.61,2.90,5.70,4.89,2.70,1.45,2.23,3.86,2.49,,
October,4.19,3.63,5.22,15.00,4.15,3.19,8.68,8.78,2.27,13.44,,
November,6.38,1.10,6.54,4.25,2.82,10.88,5.97,6.79,2.95,2.44,,
December,11.57,12.31,6.48,8.69,6.48,2.70,5.48,9.78,9.24,11.35,,
Total,66.83,54.39,48.78,75.84,64.83,52.19,58.81,63.86,54.61,63.36,,
Calc annual,66.83,54.39,48.78,75.84,64.83,52.19,58.81,63.86,54.61,63.36,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
