SOUTH-BRENT-BEECHFIELD,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX689600,Long,-3.8468,Lat,50.4257,Elevation,450,ft,,,,,,,,,,,,,,,,
Station no,1677,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,15.63,5.35,11.42,6.94,10.16,4.48,6.97,1.37,9.83,10.16,12.15,11.47,5.72,6.81,9.27,12.99,8.34,4.18,7.38,6.26,14.87,2.31,2.74
February,,7.15,4.03,2.4,6.66,0.05,7.19,0.19,7.45,4.6,13.44,2.97,5.48,8.35,8.16,0.62,4.12,2.23,7.67,6.47,3.4,3.58,3.37,10.11
March,,7.24,1.01,4.17,2.97,3.99,6.79,5.65,1.65,6.86,6.36,0.89,1.97,6.02,6.28,6.47,1.98,0.23,3.09,3.65,14.4,3.49,2.34,5.19
April,,3.4,0.81,4.19,4.61,6.18,4.75,4.79,8.83,4.02,5.82,0.26,4.12,3.42,1.44,3.05,2.11,4.34,1.73,3.88,5.31,4.27,2.96,3.91
May,,1.92,5.44,3.55,4.08,5.74,2.32,1.91,2.62,0.97,4.08,5.3,0.82,2.03,4.68,8.07,6.7,0.99,4.69,4.8,2.73,3.15,5.56,2.79
June,,4.09,4.03,1.57,6.81,5.14,2.42,2.56,7.46,2,1.62,2.64,5.78,1.33,2.93,0.38,2.35,5.24,7,6.6,4.83,3.63,0.87,1.67
July,,2.91,3.62,4.1,8.04,4.29,5.65,1.15,0.84,10.67,3.85,5.2,10.9,4.61,2.46,3.43,5.1,6.21,4.13,2.74,4.33,3.58,2.79,6.93
August,,3.88,5.07,6.73,5.69,1.96,2.58,6.34,3.19,1.38,1.6,6.42,4.77,0.28,8.14,7.42,5.83,3.95,4.25,7.12,1.87,5.72,2.8,8.13
September,,2.29,0.5,7.75,2.78,7.55,2.79,6.08,8.95,6.01,4.01,3.7,0.95,2.81,0.66,5.8,6.42,3.38,4.92,10.07,3.39,4.5,3.99,8.61
October,,11.7,9.59,8.15,1.23,13.91,5.18,5.6,7.87,3.08,4.15,9.73,7.37,6.7,2.93,6.15,6.35,8.03,5.85,2.88,1.91,5.39,11.24,2.83
November,,11.5,20.01,10.22,10.66,4.78,1.82,3.14,11.2,7.04,5.7,13.95,16.6,15.46,4.01,1.47,4.57,15.16,1.22,11.36,5.89,4.17,8.17,11.52
December,6.81,7.82,14.96,7.55,4.08,5.88,3.11,21.11,8.39,8.03,7.11,6.87,5.01,7.87,6.81,10.15,4.87,5.27,8.75,7.79,5.65,9.16,5.01,7.18
Total,,79.53,74.42,71.8,64.55,69.63,49.08,65.49,69.82,64.49,67.9,70.08,75.24,64.6,55.31,62.28,63.39,63.37,57.48,74.74,59.97,65.51,51.41,71.61
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1927 Nov 17th Gauge moved 200 yds SW from Beechfield,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec Gauge ended,,,,,,,,,,,,,,,,,,,,,,,,
