SOUTH-BRENT-BEECHFIELD-(GREAT-AISH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX688602,Long,-3.8474,Lat,50.4273,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927
January,,,,,,,,4.8,2.3,11.28,9.75,5.91,4.31,8.41,10.54,3.42,11.53,2.8,4.27,3.43,7.97,2.84,8.06,12.69,3.38,7.54,5.58,2.73,6.67,10.73,12.32,9.26,8.04,4.92,8.82,9.75,10.92,8.07
February,,,,,,,,6.4,3.84,6.66,11.01,2.1,3.12,3.89,10.71,1.95,7.61,3.74,4.13,0.99,10.41,5.97,8.17,2.5,8.98,12.5,10.66,2.38,5.06,7.66,2.14,0.2,8.25,13.29,2.73,8.13,5.86,5
March,,,,,,,,7.71,3.25,1.2,2.79,5.46,3.6,8.84,4.11,9.66,2.95,2.49,5.97,10.76,1.52,5.7,9.85,7.59,12.68,2.62,4.38,5.04,3.64,8.79,6.28,4.79,6.56,3.92,3.83,0.73,1.61,7.48
April,,,,,,,,7.01,3.02,6.21,2.66,7.47,3.33,2.95,3.41,4.55,1.5,9.14,4.43,3.25,3.38,3.69,0.4,7.11,3.14,2.82,2.6,2.59,2.25,4.21,6.8,1.43,6.71,6.36,6.62,5.14,3.34,4.15
May,,,,,,,,2.45,4.57,3.69,3.08,2.07,2.33,2.9,5.66,1.19,6.01,5.61,3.29,1.86,4.23,1.7,2.78,4.59,3.02,4.67,2.67,2.98,1.67,2.47,3.31,4.88,2.76,3.86,7.48,7.16,3,0.84
June,,,,,,,,4.24,3.16,2.57,6.27,3.01,3.52,1.77,2.22,3.9,2.43,6.01,1.08,4.16,2.7,3.8,6.65,1.85,1.47,2.93,5.17,2.97,1.82,1.16,3.17,0.18,2.06,0.55,2.77,0,3.92,4.75
July,,,,,,,,0.95,1.59,2.85,1.1,2.2,3.36,6.23,5.85,1.25,1.64,2.6,4.48,6.03,5.43,1.48,3.77,0.78,6.02,7.34,2.31,2.72,6.43,2.1,7.71,1.92,7.87,1.92,7.77,5.23,1.5,7.46
August,,,,,,,,7.39,4.74,2.51,5.2,3.52,4.07,7.21,3.99,6.8,3.56,3.89,8.64,3.16,7.65,2.92,13.9,1.86,4.41,2.66,5.87,7.61,3.66,5.41,2.62,5,6.99,4.97,7.17,6.52,3,6.77
September,,,,,,,,4.87,2.1,3.78,2.83,5.61,2.9,5.7,4.89,2.7,1.45,2.23,3.86,2.49,0.38,2.88,1.9,4.79,5.09,1.53,2.76,3.99,10.6,3.93,2.93,1.87,5.17,5.63,7.72,5.85,2.01,9.46
October,,,,,,,,2.18,7.39,4.66,4.19,3.63,5.22,15,4.15,3.19,8.68,8.78,2.27,13.44,8.52,6.92,8.26,3.64,4.42,7.35,11.4,10.42,4.36,2.2,5.14,2.11,3.12,12.37,11.86,8.94,4.62,6.2
November,,,,,,,,3.26,6.79,6.19,6.38,1.1,6.54,4.25,2.82,10.88,5.97,6.79,2.95,2.44,8.9,8.42,5.17,8.83,8.05,5.37,8.54,4.03,5.57,6.02,3.68,5.83,4.63,4.59,6.41,5.26,13.47,
December,,,,,,,,12.31,9.29,5.89,11.57,12.31,6.48,8.69,6.48,2.7,5.48,9.78,9.24,11.35,11.06,15.63,11.26,4.51,14.3,16.88,7.75,1.76,11.74,11.17,10.49,4.77,10.78,9.15,11.51,9.83,0.7,
Total,,,,,,,,63.57,52.04,57.49,66.83,54.39,48.78,75.84,64.83,52.19,58.81,63.86,54.61,63.36,72.15,61.95,80.17,60.74,74.96,74.21,69.69,49.22,63.47,65.85,66.59,42.24,72.94,71.53,84.69,72.54,53.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Nov 17th Gauge moved 200 yds SW to Beechfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
