WHITBOURNE COURT,,,,,,,,,,,,
Grid ref,SO725568,Long,-2.403861,Lat,52.208729,,,,,,,
Station no,RR7783,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.00,1.19,0.69,0.99,,
February,,,,,,,1.87,1.00,1.15,0.54,,
March,,,,,,,1.29,0.73,2.81,2.97,,
April,,,,,,,1.17,2.14,3.06,2.25,,
May,,,,,,,2.47,2.75,1.54,0.83,,
June,,,,,,,3.33,2.23,3.64,3.53,,
July,,,,,,,0.58,2.11,1.85,2.94,,
August,,,,,,,1.43,2.05,2.04,1.96,,
September,,,,,,,0.77,0.51,3.35,3.28,,
October,,,,,,,5.07,7.46,1.63,3.04,,
November,,,,,,,2.65,2.24,1.56,0.89,,
December,,,,,,,1.94,3.45,1.99,3.75,,
Total,,,,,,,25.57,27.86,25.31,26.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.57,27.86,25.31,26.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
