WHITBOURNE COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO725568,Long,-2.403861,Lat,52.208729,Elevation,130,ft,,,,,,,,,,,,
Station no,RR7783,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3,1.19,0.69,0.99,2.33,0.72,1.39,4.44,0.86,,,,,
February,,,,,,,1.87,1,1.15,0.54,3.5,1.43,1.25,1.17,2,,,,,
March,,,,,,,1.29,0.73,2.81,2.97,0.6,1.95,3.99,5.19,2.18,,,,,
April,,,,,,,1.17,2.14,3.06,2.25,2.12,1.06,0.1,4.39,1.24,,,,,
May,,,,,,,2.47,2.75,1.54,0.83,1.25,1.22,3.56,2.33,1.49,,,,,
June,,,,,,,3.33,2.23,3.64,3.53,2.91,2.42,5.12,0.79,2.67,,,,,
July,,,,,,,0.58,2.11,1.85,2.94,1.93,0.23,3.71,0.97,3.46,,,,,
August,,,,,,,1.43,2.05,2.04,1.96,5.55,2.09,9.3,1.56,2,,,,,
September,,,,,,,0.77,0.51,3.35,3.28,0.69,1.51,0.92,2.51,1.16,,,,,
October,,,,,,,5.07,7.46,1.63,3.04,2.95,1.91,2.55,5.28,1.59,,,,,
November,,,,,,,2.65,2.24,1.56,0.89,3.77,2.8,1.48,3.19,2.76,,,,,
December,,,,,,,1.94,3.45,1.99,3.75,5.26,2.67,3.34,0.97,5.91,,,,,
Total,,,,,,,25.57,27.86,25.31,26.97,32.86,20.01,36.71,32.79,27.32,,,,,
