PENSELWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST771314,Long,-2.32781,Lat,51.08169,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2119/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.13,3.24,7.01,2.96,3.15,4.75,7.55,2.96,2.25,3.48,2.5,6.76,1.01,0.53,3.88,3.03,0.96,1.51,3.46,4.83,2.76,3.61,5.94,4.19
February,,,,,,,5.8,1.16,2.23,3.46,3.53,0.59,1.44,1.09,2.54,3.04,1.01,1.51,1.63,5.2,5.24,1.27,2.39,3.6,1.82,0.07,3.34,3.69,0.29,3.02
March,,,,,,,4.39,0.28,1.37,2.31,3.32,2.77,1.04,0.54,1.06,0.93,6.59,1.35,1.64,1.12,3.61,4.01,0.81,4.2,1.39,1.59,2.33,1.14,4.77,1.9
April,,,,,,,2.36,0.1,2.78,2.02,1.52,1.92,0.99,1.79,0.96,3.28,2.28,1.88,1.77,3.97,3.82,1.9,3.3,0.42,1.16,1.38,0.44,1.01,2.51,1.93
May,,,,,,,2.89,2.74,0.82,1.61,1.75,5.11,2.71,0.65,3.15,5.07,2.25,4.17,2.53,1.87,3.08,3.58,1.92,2.12,3.79,0.59,1.53,2.56,0.82,1.28
June,,,,,,,1.42,1.9,3.32,0.59,1.97,0.67,2.12,2.23,3.76,3.55,2.11,3.51,0.51,2.2,1.29,2.31,2.54,4.27,2.65,2.17,1.45,5.01,0.65,2.51
July,,,,,,,4.38,3.84,6.65,3.83,2.01,1.89,2.63,3.05,1.83,1.22,2.05,1.78,0.89,4.57,1.74,1.02,4.06,3.6,1.28,3.12,4.53,2.1,1.6,4.23
August,,,,,,,1.46,2.95,3.11,0.3,5.92,4.01,3.96,2.76,2.28,5.23,0.25,3.94,2.3,4.77,4.73,3.71,3.69,4.13,0.67,5.94,3.49,3.36,1.31,5.57
September,,,,,,,2.75,1.86,0.5,2,0.64,2.77,3.15,2.09,2.55,5.72,1.51,3.22,2.74,4.23,2.94,3.61,3.62,2.67,1.6,4.25,3.96,6.48,0.21,4.18
October,,,,,,,4.91,3.64,4.31,4,1.51,3.19,4.35,4.64,4.49,1.43,0.63,3.3,6.82,1.61,0.9,5.3,3.19,3.63,2.59,2.41,2.99,2.82,3.37,7.67
November,,,,,,,2.22,4.78,7.89,9.38,1.89,1.66,3.3,7.17,0.47,6.53,2.03,2.07,4.55,7.07,8.97,4.32,1.18,6.83,3.92,0.91,2.2,2.63,3.77,5.61
December,,,,,,,4.11,4.71,2.52,3.42,2.19,4.63,2.56,3.43,4.33,3.61,3.69,5.61,2.08,2.66,2.62,3.58,1.12,3.31,5.14,3.7,3.67,3.99,8,4.99
Total,,,,,,,42.82,31.2,42.51,35.88,29.4,33.96,35.8,32.4,29.67,43.09,26.9,39.1,28.47,39.8,42.82,37.64,28.78,40.29,29.47,30.96,32.69,38.4,33.24,47.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Penselwood P Sta SRC_ID 7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
