"BLISWORTH (GRAND UNION CANAL)",,,,,,,,,,,,
Grid ref,SP720550,Long,-0.948213,Lat,52.188553,,,,,,,
Station no,1103,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,1.57,1.00,0.86,1.52,3.23,1.50,2.96,3.44,3.48,,
February,3.65,0.39,1.60,3.01,1.16,0.30,2.48,3.05,0.03,1.93,,
March,4.34,2.08,0.76,2.73,1.75,0.82,2.04,1.74,3.06,1.21,,
April,3.49,1.64,1.70,0.32,0.68,1.05,0.44,0.72,2.56,0.65,,
May,2.90,3.87,1.20,2.70,3.85,0.28,1.72,1.90,0.38,1.56,,
June,0.69,2.87,1.87,2.37,2.50,3.33,2.24,4.34,1.12,3.02,,
July,1.16,0.29,1.91,2.91,0.20,5.36,3.21,2.64,1.95,3.49,,
August,4.39,2.66,2.83,3.19,0.35,3.22,1.94,2.58,1.42,3.64,,
September,1.75,1.55,1.46,2.30,1.49,2.10,4.33,2.57,0.08,3.48,,
October,0.87,2.79,2.23,2.06,1.71,1.45,1.86,2.16,1.76,5.09,,
November,5.74,1.96,1.36,5.34,1.70,0.68,1.62,1.94,2.02,3.27,,
December,1.96,2.55,0.66,1.99,1.83,2.92,2.68,2.87,4.54,2.67,,
Total,33.79,24.22,18.58,29.78,18.74,24.74,26.06,29.47,22.36,33.49,,
Calc annual,33.79,24.22,18.58,29.78,18.74,24.74,26.06,29.47,22.36,33.49,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
