BROMSGROVE (SEWAGE DISPOSAL WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO956685,Long,-2.065967,Lat,52.314589,Elevation,259,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2406/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.76,5.4,3.41,3.11,3.28,5.03,2.07,1.44,2.17,1.82,4.2,1.56,0.56,2.25,1.97,0.84,1,2.27,2.86,1.03,2.4,3.15,5.09
February,,,,,,,,0.49,0.14,3.18,2.4,0.88,1.31,1.18,1.61,1.64,0.97,1.09,0.75,4.4,2.62,0.68,1.4,2.14,1.38,0.28,2.42,3.52,0.09,1.84
March,,,,,,,,0.39,1.42,1.51,2.11,1.9,0.92,0.43,1.09,0.73,5.28,1.12,2.02,1.31,4.69,2.25,1.2,2.16,2.56,0.96,1.55,0.97,1.65,1.26
April,,,,,,,,0.16,1.72,2.96,1.73,1.1,0.88,1.78,1.01,2.52,1.81,2.21,2.53,2.26,2.52,2.05,2.1,0.58,1.21,1.15,0.06,0.37,2.76,1.04
May,,,,,,,,1.69,1.03,2.45,2.54,3.87,3.67,0.63,2.53,2.95,2.13,2.08,3.05,1.49,3.53,2.98,2.23,2.64,3.26,0.62,1.31,2.25,1.05,1.39
June,,,,,,,,1.65,1.6,0.82,1.58,0.03,2.17,1.73,2.77,2.8,1.53,4.21,0.24,1.81,1.05,1.71,1.98,2.59,2.79,2.04,1.26,4.04,1.22,1.91
July,,,,,,,2.59,2.96,5.49,3.05,5.91,1.34,1.18,2.85,2.74,1.38,2.43,1.53,2.15,2.91,1.08,0.52,3.65,3.56,0.68,3.29,3.43,3.64,1.73,3.41
August,,,,,,,0.5,3.9,2.05,0.22,3.53,2.41,1.55,2.02,2.37,5.3,0.83,4.68,1.26,3.53,4.36,5.09,2.67,4.18,0.49,5.53,5.79,3.56,0.9,4.55
September,,,,,,,2.11,2,1.02,1.82,0.65,1.29,1.37,3.2,1.51,3.78,1.47,2.56,1.54,3.58,2.39,1.02,2.73,1.52,1.6,2.57,3.76,4.49,0.25,4.49
October,,,,,,,2.43,2.56,3.49,3.9,2.53,2.56,2.11,3.32,2.9,0.74,0.39,2.62,4.7,0.88,0.48,4.73,1.97,3.09,1.18,1.55,1.42,1.97,2.34,5.76
November,,,,,,,1.49,2.89,3.46,6.1,2.75,1.18,1.54,4.15,0.24,4.54,1.74,1.73,2.9,4.4,6.5,2.09,1.46,5.27,3.12,0.71,1.8,1.8,2.76,3.56
December,,,,,,,2.5,3.5,1.78,1.46,1.6,3.75,1.14,1.67,3.22,2.42,2.29,4.11,1.45,1.82,2.02,2.86,1.1,1.65,2.03,2.55,2.14,3.08,4.71,3.23
Total,,,,,,,,24.95,28.6,30.88,30.44,23.59,22.87,25.03,23.43,30.97,22.69,32.14,24.15,28.95,33.49,27.95,23.33,30.38,22.57,24.11,25.97,32.09,22.61,37.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 total arithmetic mistranscribed therefore corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,BROMSGROVE W WKS ,01/01/1937,31/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
