HEDNESFORD SCOUT HOUSE (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK014121,Long,-1.980717,Lat,52.706566,Elevation,702,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.68,4.97,1.97,1.9,1.88,2.42,1.27,3.63,3.93,2.31,4.03,3.24,4.28,3.71,4.92,3.03,2.27,2.4,2.38,5.22,1.68,1.06,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.4,0.76,2.5,0.24,3.77,0.29,2.55,2.44,4.6,0.5,1.17,2.22,3.24,1.35,1.18,2.53,2.53,3.05,2.22,1.4,0.67,4.83,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.16,3.04,0.1,1.93,3.05,2.65,0.69,1.88,2.63,0.38,1.36,2.03,3.05,1.81,1.09,0.53,1.17,1.06,6.33,1.23,2.04,0.99,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.74,2.9,3.99,3.72,0.9,2.13,3.46,2.38,2.5,0.06,2.4,3.14,2.07,1.35,1.43,1.93,1.62,1.57,2.03,2.35,2.73,2.3,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.99,2.43,4.02,5.94,1.42,0.71,0.89,0.81,2.8,1.32,1.58,3.17,2.69,3.44,3.52,0.8,4.18,2.7,2.94,2.31,2.14,1.37,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.22,1.58,4.94,0.57,2.26,0.91,3.57,4.27,1.17,1.01,1.34,0.92,1.5,0.72,2.13,2.21,2.52,3.04,2.07,4.88,0.47,1.23,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.76,7.04,3.56,3.85,2.23,2.3,0.51,5.55,2.62,2.27,5.07,3.57,4.68,2.22,1.16,2.7,2.06,1.85,3.22,2.1,2.67,2.18,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.49,3.67,6.03,2.17,0.86,2.22,2.13,0.98,0.75,2.75,4.73,0.39,4.14,1.89,2.76,2.13,3.28,6.65,0.97,5.66,2.03,3.31,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.6,3.57,2.14,2.44,0.94,1.97,3.32,3.35,2.88,2.69,1.07,0.84,0.27,1.4,3.37,3.23,1.58,4.33,1.8,2.66,1.05,4.3,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.75,2.56,0.88,5.12,5.04,2.37,3.65,2.22,2.45,1.45,3.88,3.25,3.06,2.74,1.91,3.34,3.99,1.04,0.61,2.59,4.96,1.01,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,6.59,3.77,3.6,2.06,1.3,2.69,5.81,3.1,1.63,2.1,4.33,7.06,3.52,1.23,2.16,3.97,0.45,5.94,2.89,1.86,3.5,4.02,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.71,2.94,1,0.98,0.5,4.67,3.54,2.3,2.99,2.44,2,2.38,1.67,3.38,1.17,1.76,2.47,3.09,2.59,4.19,2.37,2.33,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,26.09,39.23,34.73,30.92,24.15,25.33,31.39,32.91,30.95,19.28,32.96,32.21,34.17,25.24,26.8,28.16,28.12,36.72,30.05,36.45,26.31,28.93,37.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
