"HEDNESFORD (SCOUT HOUSE)",,,,,,,,,,,,
Grid ref,SK014121,Long,-1.980717,Lat,52.706566,,,,,,,
Station no,2343,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.43,,,,,,,,,,,
February,2.95,,,,,,,,,,,
March,4.91,,,,,,,,,,,
April,2.39,,,,,,,,,,,
May,3.79,,,,,,,,,,,
June,1.83,,,,,,,,,,,
July,1.15,,,,,,,,,,,
August,5.88,,,,,,,,,,,
September,1.89,,,,,,,,,,,
October,0.93,,,,,,,,,,,
November,6.86,,,,,,,,,,,
December,2.66,,,,,,,,,,,
Total,37.67,,,,,,,,,,,
Calc annual,37.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
