HEDNESFORD SCOUT HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK014121,Long,-1.980717,Lat,52.706566,Elevation,770,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.55,1.78,1.77,1.37,1.19,1.01,2.86,1.18,1.43,0.99,2.67,3.05,0.86,0.86,1.6,1.95,0.63,3.23,0.73,0.53,0.78,1.27,0.54,3.35,2.67,0.93,2.05,0.66,1.06,1.63,2.36,1.82,1.86,2.44,1.08,2.33,1.6,2.22,1.7,4.26,1.42,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.24,2.6,0.44,0.12,0.81,2,1.96,0.02,0.7,2.68,0.72,1.44,3.11,1.23,1.21,0.86,3.92,0.39,1.66,1.18,0.76,0.3,2.66,1.1,1.26,0.65,1.56,2.47,2.04,0.96,0.8,2.71,1.23,0.16,2.32,4.76,0.31,2.48,2.22,1.99,1.85,0.35,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.98,2.43,1.16,0.93,0.34,0.38,0.84,1.33,2.93,2.37,0.45,0.81,0.53,1.1,1.06,3.35,1.35,2.55,1.71,0.71,2.1,1.91,0.41,1.17,3.11,3.5,1.83,0.74,3.17,0.79,1.21,3.9,1.47,1.05,1.58,1.28,0.84,0.7,0.55,2.37,2.09,0.15,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.74,4.2,0.86,1.65,0.49,0.65,1.03,1.88,0.52,1.88,1.55,1.77,0.7,1.52,1.56,1.55,1.22,1.56,1.3,1.42,2.23,0.98,1.72,0.73,0.08,3.17,0.46,0.74,0.8,0.64,1.51,1.11,3.88,0.9,1.87,2.3,2.83,1.11,1.58,1.55,1.46,0.55,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.44,2.66,1.95,2.27,2.01,1.9,2.31,0.58,0.16,1.04,2.76,2.36,1.71,1.33,1.84,2.39,2.33,0.3,2.37,3.4,3.2,1.36,2.01,0.42,2.87,1.53,0.8,1.92,2.71,2.46,2.89,0.96,2.77,1.92,1.08,1.49,3.64,3.84,2.98,1.38,0.28,1.78,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.04,0.87,1.22,3.96,4.63,1.04,2.41,0.95,1.49,3.35,0.96,2.26,1.66,2.63,1.86,1.24,0.79,2.52,1.7,2.43,2.1,3.41,1.03,2.21,4.56,0.82,3.24,1.04,1.54,2.27,0.6,1.07,2.99,0.29,0.63,0.25,3.16,0.18,1.28,4.4,2.43,1.18,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,6.19,1.58,2.22,1.99,1.99,2.43,2.4,2.06,1.26,0.66,1.64,1.25,2.6,3.12,1.25,1.76,1.97,1.24,0.77,3.18,1.96,2.63,2.98,0.25,3.29,1.42,2.85,6.02,1.63,1.35,2.84,1.55,3.72,0.5,4.45,4.04,3.82,2.56,2.1,2.29,0.97,1.55,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.56,2.64,3.02,3.43,1.98,1.54,1.95,1.88,2.01,4.48,2.13,1.11,3.6,2.16,4.45,4.36,2.46,4.03,1.23,2.6,3.52,1.95,4.21,1.12,6.14,1.26,1.81,1.62,1.82,4.17,1.53,2.67,0.91,2.97,4.49,1.89,2.98,3.48,1.52,3.62,3.09,2.3,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.05,1.98,0.82,1.1,2.67,2.42,1.08,0.38,3.55,2.34,0.45,2.92,0.84,0.65,1.95,4.26,1.75,1.19,1.16,0.8,1.61,2.23,0.4,1.17,0.67,1.86,0.89,0.48,0.66,1.31,5.81,1.59,1.93,1.43,2.29,2.57,3.36,3.49,0.85,4.22,0.72,0.51,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.42,4.39,1.2,4.05,2.12,1.44,2.78,2.21,1.63,1.11,2.49,2.92,2.44,1.56,2.49,4.82,0.74,1.15,4.96,5.18,2.08,2.75,2.38,2.33,2.24,5.37,2.13,2.51,2.97,2.89,1.14,3.31,2.59,2.22,0.47,3.18,3.55,3.45,2.56,1.73,3.81,3.5,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,4.26,0.55,2.44,1.73,1.56,0.74,2.38,2.54,1.34,1.92,1.99,1.35,2.63,1.46,2.33,2.03,2.17,2.7,2.27,2.04,1.45,0.68,3.4,2.16,1.52,2.12,3.03,2.49,2.83,0.82,1.66,1.17,0.6,1.65,0.68,1.44,1.87,1.98,4.64,4.3,2.6,6.26,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.29,1.33,0.25,2.43,0.7,2.71,2.19,1.3,3.08,2.23,1.82,1.9,3.65,3.57,1.33,1.9,1.52,0.7,1.78,2.29,1.61,3.56,5.3,5.04,2.86,0.51,6.44,4.33,2.07,0.83,2.86,3.08,2.58,1.52,2.84,3.31,2.18,1.8,0.46,2.52,1.92,4.43,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,25.78,17.36,25.43,20.67,18.44,22.34,17.99,19.85,25.49,17.95,22.76,26.52,21.19,22.19,30.12,22.17,18.96,24.14,25.96,23.15,22.54,27.77,18.24,31.95,24.88,25.97,26.41,22.9,19.55,24.48,25.48,26.49,16.47,25.14,27.59,30.87,26.67,22.96,32.07,25.48,23.98,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
