"LIVERPOOL MONUMENT PLACE - 10"" gauge 4'6"" above ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ354907,Long,-2.973255,Lat,53.409141,Elevation,129,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.75,0.98,1.94,,2.36,0.71,,3.02,1.04,3.2,1.45,1.62,1.51,2.59,3.2,3.46,3.41,2.04,2.31,1.41,2.56,3.5,5.47,,
February,,,,,,,1.94,1.51,2.24,,2.62,1.89,,0.66,1.25,2.18,3.07,1.24,2.22,1.29,2.49,0.19,2.66,3.31,0.64,4.41,2.68,1.5,2.61,,
March,,,,,,,2.02,1.65,3.02,,0.66,0.97,,2.36,2.52,1.24,1.71,3.09,0.99,5.64,3.95,1.66,1.73,1.31,1.03,0.92,0.75,2.66,1.13,,
April,,,,,,,1.09,1.14,3.25,,3.35,2.08,,3,0.56,1.44,1.63,1.94,1.14,1.21,3.81,1.08,1.98,2.63,2.23,1.86,0.69,1.46,0.81,,
May,,,,,,,2.88,2.99,2.98,,2.31,0.72,,2.06,1.98,1.25,2.8,3.28,2.78,0.81,3.21,2.19,1.29,3.14,5.71,2.32,3.52,1.21,1.49,,
June,,,,,,,1.41,5.05,2.09,,3.9,2.55,,1.93,1.5,0.85,2.3,1.74,1.66,1.31,2.63,0.18,2.21,0.46,1.82,0.05,1.22,4.33,5.04,,
July,,,,,,,0.87,2.24,3.43,,4.47,0.47,,2.49,4.44,2.99,1.29,1.63,3.43,1.45,5.44,1.2,4.25,2.89,2.16,2.34,3.74,3.38,1.87,,
August,,,,,,,2.86,3.21,3.17,,4.06,3,,1.46,1.91,5.59,2.78,6.73,1.95,4.15,2.03,4.83,3,3.25,5.12,3.31,3.31,5.77,3.55,,
September,,,,,,,1.81,0.63,3.32,,0.39,4.61,,1.92,3.14,0.6,2.51,1.22,6.67,2.18,2.95,1.34,2.83,3.32,4.34,3.89,4.03,6.08,1.14,,
October,,,,,,,5.38,3.77,2.01,,2.87,2.58,,2.43,1.88,1.99,3.95,6.22,2.15,2.71,1.35,3.02,0.59,3.63,3.69,3.94,3.12,2.76,3.71,,
November,,,,,,,1.92,2.79,2.39,,4.7,2.53,,3.12,2.96,2.06,2.29,2.5,1.84,1.61,0.78,2.01,1.87,3.41,1.59,2.65,4.84,4.85,4.35,,
December,,,,,,,3.49,2.3,1.73,,3.36,3.68,,2.05,4.69,6.06,1.98,1.28,6.35,5.1,2.33,3.51,3.85,4.05,3.22,2.83,0.95,1.47,2.32,,
Total,,,,,,,30.42,28.26,31.57,,35.05,25.79,,26.5,27.87,29.45,27.76,32.49,32.69,30.05,34.17,24.67,29.67,33.44,33.86,29.93,31.41,38.97,33.49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_19_pt1-page-113.csv January 1906 onwards for this gauge. Earlier records from St John's Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_17_pt1-page-228.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_19_pt1-page-123.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
