"LIVERPOOL, MONUMENT PLACE",,,,,,,,,,,,
Grid ref,SJ354907,Long,-2.973255,Lat,53.409141,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.98,2.04,1.71,,
February,,,,,,,,1.51,2.24,0.66,,
March,,,,,,,,1.65,3.02,2.88,,
April,,,,,,,,1.14,3.27,2.29,,
May,,,,,,,,2.99,2.98,1.46,,
June,,,,,,,,5.24,2.09,2.38,,
July,,,,,,,,2.20,3.43,3.78,,
August,,,,,,,,3.21,3.17,3.15,,
September,,,,,,,,0.63,3.42,2.60,,
October,,,,,,,,3.77,2.01,4.18,,
November,,,,,,,,2.79,2.39,1.12,,
December,,,,,,,,2.30,1.73,5.77,,
Total,,,,,,,,28.41,31.79,31.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.41,31.79,31.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
