BELVOIR CASTLE (Old Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK820337,Long,-0.782557,Lat,52.894504,Elevation,259,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.6,1.1,3.18,0.29,0.8,2.92,0.58,1.65,2.7,0.57,2.59,1.5,3.12,1.88,2.93,1.62,1.27,2.95,2,1.58,1.96,2.16,3.09,1.71,0.96,0.45,0.95,1.87,2.67,1.83,1.71,2.69,2.04,0.49,1.66,2.5,1.76,1.24,1.6,2.12,3.23,0.91,1.35,0.78,2.53,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.9,1.52,0.54,0.38,1.35,1.08,1.68,0.42,0.26,0.98,2.06,2.09,1.73,1.54,2.55,2.13,1.15,2.1,1.59,1.59,1.44,1.98,2.1,1.1,2.22,2.08,3.91,1.33,3.28,1.23,2.78,0.36,0.71,2.01,2.03,0.97,0.07,2.05,2.94,2.32,0.31,0.66,2.9,0.48,1.05,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.1,0.35,1.75,0.98,1.33,1.67,2.15,3.2,0.58,2.75,1.31,1.64,2.9,1.9,2.75,1.51,1.04,2.17,1.64,1.05,0.57,2.42,1.57,0.42,1.08,0.98,1.8,2.04,1.34,1.12,0.74,2.62,1.53,2.92,3.27,2.1,1.14,1.36,0.63,0.94,2.1,1.6,2.25,1.1,0.42,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.8,1.95,2.98,2.59,2.81,0.57,1.25,1.59,1.11,1.89,0.67,1.4,2.41,1.69,2.47,0.89,2.93,3.38,1.07,1.13,0.97,4.21,3.13,1.48,2.85,2.98,0.91,2.91,2.79,1.43,1.67,1.86,1.32,1.73,2.96,0.45,2.53,1.13,0.41,1.41,1.68,0.78,1.3,1.66,1.75,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.2,2.46,0.74,2.38,1.56,2.76,1.56,2.88,0.54,0.96,2.34,1.24,2.9,0.51,4.74,0.62,1.14,1.83,2.25,0.97,1.01,0.54,1.91,4.14,3.02,1.17,0.9,1.97,2.7,1.16,1.9,4.28,2.4,0.72,6.28,2.56,3.73,2.49,2.07,2.7,0.74,0.5,0.75,2.48,3.27,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.9,1.49,1.09,0.74,2.99,3.54,2.77,2.09,2.7,1.33,1.41,3.12,1.85,0.49,1.5,0.97,2.87,2.92,1.32,0.45,2.44,2.43,1.64,2.63,3.65,3.78,1.86,4.32,2.94,0.73,2.83,1.82,0.66,1.58,0.64,1,2.32,2.77,1.03,2.28,1.35,2.3,2.11,0.71,0.98,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.4,1.93,2.21,1.79,1.8,1.54,4.75,1.82,0.93,0.25,3,3.21,2.7,0.1,0.78,1.03,4.29,4.23,1.08,0.9,5.42,0.86,2.76,1.39,3.41,6.59,1.65,3.01,2.95,4.19,0.17,2.71,1.27,4.53,3.06,2.88,2.88,1.84,3.41,3,3.01,1.32,1.52,0.69,1.48,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.6,4.25,5.84,3.43,2.22,5.6,0.46,2.77,1.58,0.56,3.54,4.73,2.65,2.94,1.52,1.14,0.56,2.6,2.61,1.94,1.92,1.45,2.7,5.09,3.31,2.2,4.78,2.89,1.49,0.92,2.65,2.08,1.25,2.54,3.43,2.29,3.3,1.55,2.16,3.54,2.08,1.88,4.3,2.55,0.7,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.6,3.5,2.38,2.13,1.51,3.54,1.68,2.59,2.52,1.69,0.21,4.54,1.93,2.82,2.95,0.54,4.67,2.83,1.64,2.14,2.24,5.05,2.14,1.65,2.94,4.6,2.81,2.74,4.73,1.4,3.07,1.36,2.99,1.13,2.6,0.6,1.63,3.05,2.42,0.98,0.48,3.91,1.89,0.43,2.41,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.6,3.01,2.3,3.36,2.84,2.06,1.38,2.08,2.63,1.34,4.78,2.44,2.2,2.9,1.1,3.84,1.24,3.65,1.94,1.6,4.95,2.35,1.84,2.67,1.12,6.05,2.68,5.23,2.72,0.98,4.9,4.23,1.48,0.62,4.04,1.24,4.96,5.92,1.8,3.11,3.1,3.56,0.95,2.41,2.75,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
