CIRENCESTER-BARNSLEY-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP080060,Long,-1.8855102,Lat,51.752637,Elevation,495,ft,,,,,,,,,,,,,
Station no,2205,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.93,2.32,4.92,3.64,5.13,1.23,4.63,1.94,3.57,2.27,2.92,,,,,,
February,,,,,0.43,3.94,2.25,3.93,2.97,0.69,0.64,2.52,0.16,3.56,0.34,,,,,,
March,,,,,1.36,0.35,0.55,3.1,3.02,0.2,1.88,0.17,2.41,3.76,2.2,,,,,,
April,,,,,2.83,1.81,3.11,1.69,1.42,1.36,2.62,3.27,3,1.26,2.24,,,,,,
May,,,,,6.94,4.08,3.79,1.02,0.81,2.96,1.2,4.7,5.93,1.99,0.89,,,,,,
June,,,,,3.55,0.1,2.24,4.22,3.3,1.25,2.15,4.36,1.2,2.36,2.2,,,,,,
July,,,,,4.47,2.59,2.18,2.56,2.88,1.54,3.96,3.21,2.4,2.14,1.58,,,,,,
August,,,,,3.15,4.53,1.72,4.98,1.91,2.14,3.21,5.47,1.94,1.14,2.27,,,,,,
September,,,,,4.44,3.88,1.07,5.82,0.85,0.15,4.17,2.82,3.23,3.03,3.95,,,,,,
October,,,,,5.25,3.94,2.71,2.32,5.48,4.63,2.26,0.76,4.92,2.9,1.85,,,,,,
November,,,,,2.46,2.09,7.15,3.05,4.31,9.29,3.73,4.58,2.37,1.28,1.51,,,,,,
December,,,,,5.1,3.45,0.52,3.42,2.93,7.58,3.64,1.72,1.06,0.53,6.66,,,,,,
Total,,,,,43.91,33.08,32.21,39.75,35.01,33.02,34.09,35.52,32.19,26.22,28.61,,,,,,
