BROMLEY-RAVENSFELL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ402690,Long,0.014157542,Lat,51.402709,Elevation,200,ft,,,,,,,,,,,,
Station no,RR8310,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.93,1.03,2.19,1.12,3.11,3.09,0.58,3.37,,,,
February,,,,,,,,,1.65,0.63,3.42,0.98,1.68,0.78,2.93,3.64,,,,
March,,,,,,,,,2.46,2.81,1.33,1.74,3.03,2.66,4.01,0.42,,,,
April,,,,,,,,,2.42,1.46,1.68,1.9,0.02,2.44,0.99,1.54,,,,
May,,,,,,,,,1.56,1.05,2.27,1.15,1.29,0.84,1.28,3,,,,
June,,,,,,,,,2.11,3.17,2.28,2.03,2.55,0.37,1.35,0.32,,,,
July,,,,,,,,,3.4,3.14,2.12,0.34,1.34,1.53,1.71,2.59,,,,
August,,,,,,,,,2.83,1.93,2,1.29,4.78,2.08,1.64,3.57,,,,
September,,,,,,,,,1.6,2.93,1.17,1.07,2.66,1.47,1.68,2.04,,,,
October,,,,,,,,,1.9,3.75,2.71,3.03,2.3,3.57,1.37,2.12,,,,
November,,,,,,,,,0.64,0.91,3.37,3.98,2.06,2.43,3.03,2.39,,,,
December,,,,,,,,,2.05,2.72,3.66,4.95,2.72,1.09,6.5,5.01,,,,
Total,,,,,,,,,24.55,25.53,28.2,23.58,27.54,22.35,27.07,30.01,,,,
