LOCHEARNHEAD (ARDVORLICH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN632228,Long,-4.216832,Lat,56.377639,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5542/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.98,7.15,12.64,4.79,4.99,5.2,13.19,3.69,3.62,2.87,4.88,9.35,7.98,5.72,5.85,17.02,8.44,3.67,12.13,2.51,5.52,8.43,7.94,3.94,11.81,10.02,,,,,,,,,,,,,,,5.85,1.83,2.75,5.08,11.44,7.01,3.05,10.66,12.96,9.74,5.95,4.83,7.55,,3.25,,,,,,,
February,,,,,,,,,1.47,2.99,1.2,1.6,5.43,7.99,10.33,0.3,2.36,4.1,6.94,6.79,3.62,1.5,2.89,15.15,6.56,3.69,4.07,5.08,4.12,1.66,9.04,8.8,8.48,7.44,,,,,,,,,,,,,,,8.69,3.06,6.36,1.94,7.49,2.27,9.68,4.66,1.89,8.59,7.85,8.08,,,2.41,,,,,,,
March,,,,,,,,,3.72,2.46,4.18,3.81,1.41,1.93,9,3.73,7.11,13.66,2.42,5.15,1.01,5.15,4.62,19.32,4.85,9.53,3.8,4.96,9.17,2.74,6.07,2.22,9.32,11.55,,,,,,,,,,,,,,,5.21,5.53,2.5,6.09,4.22,0.76,4.77,3.65,5.67,8.57,2.39,4.8,,,2.21,,,,,,,
April,,,,,,,,,2.6,5.65,2.79,5.34,0.96,1.23,4.08,5.77,2.77,6.68,9.75,6.09,3.93,5.78,5.33,2.56,9.03,2.69,2.36,4.77,1.75,6.04,6.22,5.12,1.78,8.24,,,,,,,,,,,,,,,3.62,4.05,3.12,5.82,4.92,3.18,3.55,1.37,14.87,3.77,5.74,4.12,,,3.89,,,,,,,
May,,,,,,,,,8.97,6.66,2.78,3.74,5.04,2.19,3.76,1.56,0.5,5,3.43,4.12,7.95,2.72,2.46,2.04,3.77,1.91,7.12,7.7,2.99,5.34,2.68,4.28,1.68,10.49,,,,,,,,,,,,,,,1.38,1.49,3.02,6.97,4.2,4.13,6.31,2,6.62,3.41,3.94,2.49,,3.4,4.19,,,,,,,
June,,,,,,,,,4.52,1.32,4.67,1.41,5.43,2.18,2.16,2.67,5.08,5.3,2.47,2.3,5.4,4.95,2.39,3.29,4.44,2.72,1.33,5.17,2.85,2.29,3.49,4.23,7.81,6.1,,,,,,,,,,,,,,,2.6,0.35,0.85,1.89,4.85,4.19,5.45,3.85,4.4,5.82,1.57,1.07,,4.53,4.44,,,,,,,
July,,,,,,,,,7.88,1.89,4.12,3.28,2.97,3.86,3.1,4.97,4.79,2.56,1.19,3.63,2.89,4.17,3.35,5.7,3.96,2.26,2.9,2.75,3.95,3.19,7.43,2.96,3.22,0.6,,,,,,,,,,,,,,,6.5,5.88,3.06,3.69,2.87,3.27,4.6,3.9,5.1,3.66,1.63,7.01,,2.7,4.04,,,,,,,
August,,,,,,,,,4.55,6.77,4.09,5.87,8.39,3.79,5.64,6.87,2.96,9.7,4.89,2.29,4.85,4.56,2.6,8.75,6.42,8.21,7.1,5.83,5.35,2.81,14.18,5.64,6.49,1.55,,,,,,,,,,,,,,,2.42,1.45,3.79,6.5,7.59,4.76,1.93,5.32,0.02,11.03,5.45,10.61,,5.3,2.76,,,,,,,
September,,,,,,,,,0.75,1.67,3.85,7.99,7.13,3.04,0.33,2.04,6.63,3.8,6.63,4.85,4.89,7.19,5.61,6.08,7.79,3.77,2.55,1.29,7.34,1.74,1.17,1.47,3.44,4.51,,,,,,,,,,,,,,,3.5,3.18,1.39,9.18,5.32,4.63,7.66,8.7,6.26,7.5,2.35,10.49,,2.69,7.93,,,,,,,
