SHOTTERMILL-SEWAGE-WORKS-(HASLEMERE-SEWAGE-WORKS),,,,,,,,
Grid ref,SU892326,Long,-0.72754,Lat,51.08629,Elevation,414,ft
Station no,166/5,,,,,,,
,,,,,,,,
,1931,1932,1933,1934,1935,,,
January,2.9,4.9,3.04,2.99,0.86,,,
February,2.7,0.49,4.95,0.09,4.93,,,
March,0.71,2.1,4.87,3.12,0.67,,,
April,3.84,3.8,0.93,2.09,4.05,,,
May,3.61,5.14,2.5,0.84,1.61,,,
June,2.29,2.16,2.05,1.35,3.56,,,
July,3.84,3.73,2.16,1.7,0.91,,,
August,4.91,1.28,1.36,4.03,3.09,,,
September,2.58,3.14,4.23,2.96,5.34,,,
October,0.55,6.98,2.24,2.29,5.39,,,
November,4.52,1.82,1.16,3.7,,,,
December,0.82,1.21,0.82,10.32,,,,
Total,33.27,36.75,30.31,35.48,,,,
,,,,,,,,
Gauge started at Haslemere Sewage Works,,,,,,,,
1935 Nov Gauge moved 0.75 miles W to Shottermill Sewage Works,,,,,,,,
