DOUGLAS CRONKBOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC371775,Long,-4.496834,Lat,54.167373,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.62,0.83,1.33,2.88,5.13,6.99,3.73,4.45,3.92,1.99,2.58,4.77,1.84,3.24,2.24,3.87,2.47,2.32,2.5,2.8,6.37,4.77,3,2.5,5.58,3.42,1.92,5.05,1.91,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,3.51,4.57,3.68,7.2,3.72,2.9,4.96,4.33,2.21,1.35,0.78,3.39,1.69,0.3,1.32,5.53,5.62,1.23,2.03,3.68,2.56,3.02,4.58,2.73,4.21,3.22,4.93,1.9,3.94,2.72,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.37,2.66,2.8,4.35,3.29,1.39,3.28,3.95,4.17,1.74,3.51,2.34,3.07,1.38,0.9,1.05,2.56,4.36,3.52,4.79,2.09,2.34,1.16,2.76,1.99,4.06,3.17,4.66,2.46,3.67,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.36,2.26,3.21,1.69,4.52,1.61,1.46,3.35,2.32,1.66,2.88,3.61,1.93,2.68,1.64,1.28,2.18,2.71,1.28,3.11,2.02,5.02,2.88,2.93,2.02,1.82,2.34,2.95,1.97,2.89,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.46,2.05,0.86,3,1.09,2.7,1.39,2.23,6.56,1.71,2.19,2.64,3.39,1.57,3.85,1.43,4.12,0.25,0.22,1.59,3.63,3.71,2.91,1.63,3.51,3.07,2.66,2.04,4.99,3.49,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.65,4.4,2.57,4.81,3.59,2.52,0.68,1.8,1.39,2.46,2.44,0.4,3.94,3.13,2.85,1.45,3.39,0.9,3.07,4.76,1.87,2.93,2.65,3.48,1.52,2.73,1.7,3.39,1.19,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.76,6.47,4.46,2.89,5.57,1.87,4.44,2.54,4.5,0.59,6.56,2.49,2.68,1.38,3.02,3.68,2.19,3.1,5.98,1.54,0.29,4.11,2.33,1.28,3.69,4.83,2.37,1.45,2.42,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.71,6.53,0.68,5.47,3.94,3.98,1.52,2.16,2.65,1.04,2.99,5.78,3.89,7.66,6.35,3.77,2.83,5.43,2.32,4.09,6.36,1.27,6.84,4.27,3.45,4.26,4.39,5.63,4.57,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.75,4.97,4.41,3.33,3.95,8.49,3.36,6.27,4.54,3.22,1.14,3,4.06,6.65,4.04,2.74,0.46,0.61,5.94,5.24,2.94,3.33,2.26,3.38,3.56,6.32,4.02,2.25,1.34,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.16,1.44,5.66,3.52,5.38,4.77,2.13,4.88,4.7,2.77,3.09,3.97,2.32,7.01,7.1,4.57,6.1,5.85,5.6,2.31,4.85,3.69,6.09,6.55,4.37,9.17,2.1,3.64,5.14,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.59,1.27,5.12,5.3,8.72,5.77,4.6,3.18,4.73,3.77,6.41,2.72,10.35,5.67,3.77,2.22,4.15,3.74,2.18,5.91,4.44,2.9,6.33,5.73,4.53,4.61,3.35,5.12,4.51,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
