AUGHNACLOY ARCHDEACONRY,,,,,,,,,,,,,,,,,,,,
Grid ref,IH6646552228,Long,-6.9768789,Lat,54.414416,Elevation,254,ft,,,,,,,,,,,,
Station no,RR2958,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.61,4.75,2.07,5.8,4.4,1.77,1.48,0.51,2.62,,5.6,2.75,4.9,2.35,,
February,,,,,1.57,1.59,5.09,3.36,2.19,2.2,2.43,3.99,2.91,,3.5,3.5,2.9,1.8,,
March,,,,,2.38,1.35,4.67,2.37,1.47,2.48,2.54,3.63,3.37,,2.9,1.55,2.85,1.2,,
April,,,,,2.58,0.39,2.64,2.08,1.76,2.16,4.3,2.26,2.78,,1.2,1.68,0.5,1.65,,
May,,,,,1.79,2.1,0.52,3,5.11,3.67,1.16,1.85,2.73,,1.75,0.95,5.95,1.15,,
June,,,,,2.02,3.09,2.06,2.6,3.01,5.68,4.01,4.36,3.23,,0.9,0.49,1.33,0.7,,
July,,,,,3.06,3.91,1.34,3.08,0.13,5.12,4.96,2.06,5.97,,2.86,2.25,3.1,2.4,,
August,,,,,3.99,5.03,2.5,3.07,3.85,2.54,0.91,3.44,3.09,,2.15,1.75,2.2,2.1,,
September,,,,2.95,3.85,4.56,3.46,2.46,3.69,4.11,3.65,1.98,2.84,,2.54,5.12,3.15,2.5,,
October,,,,3.31,4.2,6.11,4.57,4.32,4.15,1.87,0.5,1.76,1.9,,3.9,3,4.15,1.4,,
November,,,,2.5,3.89,4.52,2.93,5.15,1.74,1.08,4.18,3.82,5.44,,4.27,2.46,3.65,2.25,,
December,,,,1.44,3.81,2.85,8.58,4.48,2.41,2.22,3.16,3.54,3.53,,3.62,1.5,5,2.5,,
Total,,,,,35.75,40.25,40.43,41.77,33.91,34.9,33.28,33.2,40.41,,35.19,27,39.68,22,,
,,,,,,,,,,,,,,,,,,,,
1873 Nov,,,,,,,,,,,,,,,,,,,,
