"SCALING",,,,,,,,,,,,
Grid ref,NZ741120,Long,-0.857381,Lat,54.497922,,,,,,,
Station no,3477/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.75,2.08,1.36,1.91,2.22,3.62,1.62,3.06,3.84,6.31,,
February,3.08,0.86,1.96,1.97,2.21,2.54,2.89,3.32,0.47,2.58,,
March,4.93,2.14,0.17,1.88,2.24,1.22,1.33,4.44,1.17,1.63,,
April,1.91,1.12,3.10,0.14,1.14,1.26,1.06,1.99,3.43,1.18,,
May,6.54,1.77,1.58,2.07,2.52,0.95,1.28,2.95,0.76,1.02,,
June,2.11,1.19,3.97,1.81,1.95,3.64,2.80,3.76,1.93,0.78,,
July,1.98,2.13,2.43,0.89,0.96,2.74,2.91,3.23,2.43,5.32,,
August,6.27,2.02,2.18,6.95,0.91,8.37,3.83,2.57,0.43,3.00,,
September,1.17,6.52,1.43,1.12,0.88,1.53,4.33,2.00,0.93,3.73,,
October,1.65,2.61,2.45,4.20,2.77,2.12,2.62,1.72,1.56,11.35,,
November,5.95,4.66,1.39,6.72,1.97,2.31,3.13,1.25,6.05,4.26,,
December,2.76,3.16,1.23,2.55,3.59,2.95,2.13,4.22,5.42,3.58,,
Total,40.10,30.26,23.25,32.21,23.36,33.25,29.93,34.51,28.42,44.74,,
Calc annual,40.10,30.26,23.25,32.21,23.36,33.25,29.93,34.51,28.42,44.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
