"WHITTLE DENE RES.",,,,,,,,,,,,
Grid ref,NZ066681,Long,-1.898342,Lat,55.007420,,,,,,,
Station no,3570,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.67,2.20,0.57,2.25,1.97,2.90,1.35,1.11,1.43,4.04,,
February,2.03,0.47,1.02,1.64,2.06,2.00,2.27,2.83,0.51,1.58,,
March,2.92,1.21,0.23,0.63,1.62,0.88,1.57,2.16,0.66,2.06,,
April,1.63,1.36,2.06,0.78,0.90,0.83,0.60,1.21,1.60,1.07,,
May,2.50,1.67,2.07,3.57,1.52,0.52,1.85,3.77,0.18,2.14,,
June,1.26,2.17,1.77,2.05,2.03,3.71,1.80,3.59,1.84,0.35,,
July,1.38,2.33,2.46,2.24,1.64,2.31,2.93,4.10,1.18,4.69,,
August,4.76,2.31,4.53,4.45,0.87,8.65,3.78,4.03,0.27,3.83,,
September,1.23,2.81,2.30,3.69,1.37,2.37,3.07,2.28,0.78,1.73,,
October,0.69,2.74,1.12,5.63,1.22,1.99,2.28,1.54,1.92,5.42,,
November,6.60,2.94,1.16,2.77,1.02,0.61,1.53,0.84,4.16,3.06,,
December,1.77,2.69,1.29,2.54,3.17,1.60,2.04,3.45,3.22,2.05,,
Total,28.44,24.90,20.58,32.24,19.39,28.37,25.07,30.91,17.75,32.02,,
Calc annual,28.44,24.90,20.58,32.24,19.39,28.37,25.07,30.91,17.75,32.02,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
