MELMERBY RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY611375,Long,-2.605583,Lat,54.730967,Elevation,583,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.31,1.61,1.32,4.71,2.21,2.3,1.69,3.77,2.6,1.73,1.43,1.9,7.77,3.43,2.44,2.33,3.82,3.7,,,,,
February,,,,,,,,1.43,1.76,1.61,0.86,0.26,2.68,3.67,4.78,0.58,1.33,2.53,2.35,2.68,3.65,1.29,1.04,4.21,2.95,,,,,
March,,,,,,,,1.55,2.08,2.48,2.38,1.31,0.99,0.96,1.74,3.74,5.05,6.1,2.17,2.04,0.68,2.16,2.95,4.47,1.8,,,,,
April,,,,,,,,1.94,2.06,2.12,0.87,1.07,1.58,0.59,1.42,1.15,2.21,2.08,4.4,3.25,2.63,1.68,2,1.33,2.63,,,,,
May,,,,,,,,2.21,1.79,2.55,2.43,1.97,3.84,2.05,3.59,0.61,0.9,1.6,2.76,2.87,1.57,-999,2.52,2.89,4.51,,,,,
June,,,,,,,,0.38,1.32,1.6,3.94,2.16,4.36,2.25,2.39,1.9,3.62,2.82,3.97,1.25,4.88,-999,1.83,1.33,1.74,,,,,
July,,,,,,,,1.76,5.13,3.1,2.65,4.89,2.23,3.43,2.98,6.22,4.65,1.54,1.52,6.89,1.83,1.29,3.75,4.93,2.32,,,,,
August,,,,,,,,2.3,3.08,6.15,4.6,6.78,7.03,3.86,-999,4.92,2.39,4.82,5.53,1.88,6.26,4.19,2.08,4.43,3.3,,,,,
September,,,,,,,,4.75,1.1,1.9,3.49,5.07,5.38,3.54,-999,1.11,4.2,3.73,0.94,6.63,1.18,0.89,1.65,4.33,0.96,,,,,
October,,,,,,,6.35,2.35,2.47,5.42,2.87,3.43,6.12,2.88,3.21,4.9,7.01,2.05,3.34,2.85,5.59,2.79,2.35,8.85,1.55,,,,,
November,,,,,,,4.39,3.37,4.2,1.57,4.45,2.84,2.51,2.84,3.35,4.41,2.01,3,2.42,3.67,3.21,5.48,2.33,2.54,3.88,,,,,
December,,,,,,,5.42,3.3,2.31,2.61,1.08,6.15,1.58,3.46,2.85,2.33,3.59,4.04,3.97,2.41,4.49,5.73,4.01,3,3.15,,,,,
Total,,,,,,,,27.65,28.91,32.43,34.33,38.14,40.6,31.22,34.08,34.47,38.69,35.74,35.27,44.19,39.4,31.44,28.84,46.13,32.49,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894 Aug/Sept bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 May/June bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
