HAYES WATER HIGH STREET NO3,,,,,,,,,,,,
Grid ref,NY429114,Long,-2.883078,Lat,54.494700,,,,,,,
Station no,RR6251,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.95,5.75,,
February,,,,,,,,,5.90,1.55,,
March,,,,,,,,,4.90,5.69,,
April,,,,,,,,,6.30,5.55,,
May,,,,,,,,,6.55,4.55,,
June,,,,,,,,,6.60,4.09,,
July,,,,,,,,,8.15,4.90,,
August,,,,,,,,,8.25,4.60,,
September,,,,,,,,,13.00,3.62,,
October,,,,,,,,,2.75,8.85,,
November,,,,,,,,,4.62,4.24,,
December,,,,,,,,,5.60,11.90,,
Total,,,,,,,,,78.57,65.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.57,65.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
