HAYES WATER NO. 1,,,,,,,,,,,,,,,,,,,,
Grid ref,NY430122,Long,-2.881689,Lat,54.5019,Elevation,1750,ft,,,,,,,,,,,,
Station no,RR6249,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,7.9,11.25,21.6,5.3,-999,21,13.3,7.3,15.3,4.7,,
February,,,,,,,,,6.5,3.18,11.6,12.6,-999,12.3,18.2,11,10.2,6.7,,
March,,,,,,,,,5.25,6.86,8.8,3.4,14.4,15.2,9.9,6.3,8.6,5.9,,
April,,,,,,,,,6.9,6.35,7.7,7.8,1.6,14,6.1,6.4,7.8,6.9,,
May,,,,,,,,,6.75,4.25,4.4,6.1,3.2,6,5.2,2.6,6.2,7.2,,
June,,,,,,,,,7.2,4.05,3.3,7.8,8.2,6.9,3.9,1.8,10,4.7,,
July,,,,,,,,,9.55,4.56,7.3,3,8,1.9,7,10.3,-999,4.7,,
August,,,,,,,,,9.1,4.47,13.7,7.5,10,2.5,7,7.3,-999,17.1,,
September,,,,,,,,,14.15,3.75,2.3,7.5,4.4,6.5,4.5,4.3,5.5,8.7,,
October,,,,,,,,,2.85,8.83,4,9.5,9.4,8.1,3,3.7,20.5,14.7,,
November,,,,,,,,,10.13,1.98,7,14.1,8.4,12.8,16,5.3,15.9,8.2,,
December,,,,,,,,,8.36,16.4,13,25.8,18.4,8.9,10,18.8,6.7,6.7,,
Total,,,,,,,,,94.64,75.93,104.7,110.4,105.1,116.1,104.1,85.1,116.2,96.2,,
,,,,,,,,,,,,,,,,,,,,
1912 Jan-Feb bracketed,,,,,,,,,,,,,,,,,,,,
1916 Jluy-Aug bracketed,,,,,,,,,,,,,,,,,,,,
