HAYES WATER NO. 2 LOWTHER LOT,,,,,,,,,,,,,,,,,,,,
Grid ref,NY430122,Long,-2.881689,Lat,54.5019,Elevation,2000,ft,,,,,,,,,,,,
Station no,RR6250,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.9,6.75,6.5,4.2,11.5,19,13,7,15,4.5,,
February,,,,,,,,,5.3,1.74,3,9.4,6,11,17.5,10.7,9.8,6.5,,
March,,,,,,,,,3.7,4.67,5.5,3.7,13.8,14,9.5,5.7,8,5.7,,
April,,,,,,,,,5.9,4.83,7.1,6.5,0.5,13,5.7,5.9,7.4,6.7,,
May,,,,,,,,,5.55,3.4,3.5,6.6,3.2,8,4.9,1.9,5.8,6.5,,
June,,,,,,,,,5.8,3.32,3.8,7.6,7.8,6,4.1,1.2,9.8,5.3,,
July,,,,,,,,,8,3.96,7,2.8,8.4,1.7,6.3,9.7,-999,4.4,,
August,,,,,,,,,8.2,4.16,14,7,9.7,2.3,6.2,7,-999,16.9,,
September,,,,,,,,,12.5,3.05,2.1,6.3,4,5.8,3.5,4,5.3,8.6,,
October,,,,,,,,,2.55,7.91,3.7,7.7,9.7,7.9,2.5,3.2,19.7,14.2,,
November,,,,,,,,,3.49,1.92,6.3,11.2,8,11.5,14.5,4.9,15.3,8,,
December,,,,,,,,,4.16,7.1,11.3,22,,9.2,9.3,17.9,6.5,6.4,,
Total,,,,,,,,,70.05,52.81,73.8,95,,109.4,97,79.1,111.9,93.7,,
,,,,,,,,,,,,,,,,,,,,
1912 Dec estimated so removed along with total,,,,,,,,,,,,,,,,,,,,
1916 July-Aug bracketed,,,,,,,,,,,,,,,,,,,,
