HAYES WATER HIGH STREET NO3,,,,,,,,,,,,,,,,,,,,
Grid ref,NY441114,Long,-2.8645537,Lat,54.494834,Elevation,2600,ft,,,,,,,,,,,,
Station no,RR6251,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,5.95,5.75,6.55,6.3,-999,18,12.8,7.1,15.1,4.4,,
February,,,,,,,,,5.9,1.55,5.2,12,-999,11.2,17.8,10.9,9.7,6.4,,
March,,,,,,,,,4.9,5.69,6.7,5.7,14,14.3,9.6,5.9,8.2,5.6,,
April,,,,,,,,,6.3,5.55,5.9,7.3,1.2,13.2,5.8,5.6,7.2,6.7,,
May,,,,,,,,,6.55,4.55,2.2,6.7,2.8,7.2,4.7,2.1,5.6,6.4,,
June,,,,,,,,,6.6,4.09,3.5,7.5,7.6,6.2,-999,1.3,9.7,4.9,,
July,,,,,,,,,8.15,4.9,8.8,2.6,8.7,1.4,-999,9.4,-999,4.3,,
August,,,,,,,,,8.25,4.6,17.9,7.2,9.9,2.7,-999,6.9,-999,16.7,,
September,,,,,,,,,13,3.62,2.2,6.7,4.2,5.6,3.8,4.1,5.2,8.4,,
October,,,,,,,,,2.75,8.85,4.4,8.2,9.8,7.7,2.7,3.4,-999,14,,
November,,,,,,,,,4.62,4.24,6.7,12,8,12,15,5.1,-999,7.9,,
December,,,,,,,,,5.6,11.9,11.7,23,18,9,9.6,17.7,6.3,6.2,,
Total,,,,,,,,,78.57,65.29,81.75,105.2,101.9,108.5,98.8,79.5,110.7,91.9,,
,,,,,,,,,,,,,,,,,,,,
1912 Jan-Feb bracketed,,,,,,,,,,,,,,,,,,,,
1914 June-July-Aug bracketed,,,,,,,,,,,,,,,,,,,,
1916 July-Aug and  Oct-Nov bracketed,,,,,,,,,,,,,,,,,,,,
