HAYES WATER NO. 1,,,,,,,,,,,,
Grid ref,NY430122,Long,-2.881689,Lat,54.501900,,,,,,,
Station no,RR6249,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,7.90,11.25,,
February,,,,,,,,,6.50,3.18,,
March,,,,,,,,,5.25,6.86,,
April,,,,,,,,,6.90,6.35,,
May,,,,,,,,,6.75,4.25,,
June,,,,,,,,,7.20,4.05,,
July,,,,,,,,,9.55,4.56,,
August,,,,,,,,,9.10,4.47,,
September,,,,,,,,,14.15,3.75,,
October,,,,,,,,,2.85,8.83,,
November,,,,,,,,,10.13,1.98,,
December,,,,,,,,,8.36,16.40,,
Total,,,,,,,,,94.64,75.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.64,75.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
