HAYES WATER NO. 2 LOWTHER LOT,,,,,,,,,,,,
Grid ref,NY430122,Long,-2.881689,Lat,54.501900,,,,,,,
Station no,RR6250,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.90,6.75,,
February,,,,,,,,,5.30,1.74,,
March,,,,,,,,,3.70,4.67,,
April,,,,,,,,,5.90,4.83,,
May,,,,,,,,,5.55,3.40,,
June,,,,,,,,,5.80,3.32,,
July,,,,,,,,,8.00,3.96,,
August,,,,,,,,,8.20,4.16,,
September,,,,,,,,,12.50,3.05,,
October,,,,,,,,,2.55,7.91,,
November,,,,,,,,,3.49,1.92,,
December,,,,,,,,,4.16,7.10,,
Total,,,,,,,,,70.05,52.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.05,52.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
