SAXMUNDHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM384628,Long,1.4881655,Lat,52.211805,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1367/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.47,3.58,4.75,2.23,5.53,1.57,2.58,2.47,3.78,1.67,1.27,1.68,1.79,3.84,0.79,1.4,1.98,,,,,,,,,
February,,,,,2.15,2.8,3.22,0.46,0.83,1.23,1.61,0.6,0.55,,2.09,1.76,1.62,1.34,1.08,3.24,3.37,,,,,,,,,
March,,,,,0.5,0.53,2.35,0.31,1.89,2.52,2.56,2.38,0.38,0.31,0.89,1.88,4.26,0.85,0.9,0.47,3.07,,,,,,,,,
April,,,,,1.66,1.05,2.81,0.5,2.82,1.09,1.17,0.55,0.62,1.65,1.26,1.41,1.91,1.62,1.64,1.94,,,,,,,,,,
May,,,,,1.58,0.2,2.54,2.55,0.79,0.11,2.03,1.8,0.99,0.33,2.72,1.59,0.7,1.6,2.19,1.2,,,,,,,,,,
June,,,,,2.34,2.84,0.8,0.54,1.35,0.52,0.88,0.27,1.75,2.17,1.89,3.19,1.88,4.12,0.64,0.85,,,,,,,,,,
July,,,,,1.75,3.64,1.03,1.59,4.25,3.24,1.78,2.3,0.8,1.15,1.41,3.67,1.41,1.55,0.47,1.86,,,,,,,,,,
August,,,,,1.59,0.73,1.38,0.27,1.72,0.32,3.68,0.96,1.16,1.24,2.02,3.53,0.56,3.26,1.25,3.33,,,,,,,,,,
September,,,,,4.31,2.54,2.81,2.42,0.67,0.82,0.2,1.95,2.39,2.51,0.99,2.5,0.5,1.13,1.96,1.78,,,,,,,,,,
October,,,,,2.46,2.79,1.91,2.43,8.8,2.25,1.99,4.66,1.38,3.54,1.41,1.36,0.39,1.64,3.92,0.5,,,,,,,,,,
November,,,,,3.96,3.51,1.21,1.89,4.28,5.69,2.09,3.23,2.23,3.89,1.4,3.57,2.22,1.8,2.32,3.5,,,,,,,,,,
December,,,,,2.61,1.11,2.84,3.21,1.54,1.73,1.16,2.27,1.7,1.46,2.46,3.04,3.51,1.21,1.84,1.46,,,,,,,,,,
Total,,,,,27.38,25.32,27.65,18.4,34.47,21.09,21.73,23.44,17.73,,19.81,29.18,20.75,23.96,19,21.53,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
