SEATON-SEAFIELD-(HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SY243898,Long,-3.07263,Lat,50.70356,Elevation,25,ft,,,,,,,,,,,,
Station no,RR7932,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.06,5.64,1.12,1.21,1.44,3.87,0.92,4.42,6.46,0.77,3.61,1.03,1.7,4.14,5.36
February,,,,,,0.99,3.7,1.52,1.88,0.44,4.05,1.93,3.67,0.93,3.48,5.64,6.41,1.33,1.73,4.51
March,,,,,,4.41,1.6,0.73,2.81,4.96,0.65,2.72,4.59,2.9,5.15,0.87,3.91,3.2,1.79,5
April,,,,,,2.38,1.19,4.15,2.82,2.18,1.78,2.09,0.17,2.82,1.31,0.96,0.84,1.68,1.59,2.21
May,,,,,,0.46,2.91,2.21,1.75,1.16,4,0.77,1.89,2.64,1.8,1.81,2.25,2.01,1.64,0.93
June,,,,,,2.15,1.43,2.02,0.63,4.37,2.32,1.58,4.1,0.56,2.19,1.19,1.88,1.61,1.12,0.81
July,,,,,,0.69,1.25,1.76,1.41,3.23,2.8,0.22,2.19,0.23,4.58,3.71,1.14,2.79,4.54,2.38
August,,,,,,2.49,0.89,1.58,3.79,2.45,3.33,0.44,6.96,1.21,3.69,1.91,4.64,4.89,2.45,3.54
September,,,,,,1.51,1.14,0.85,2.87,2.04,0.37,1.24,1.17,3.55,2.85,1.13,2.27,1.99,5.99,1.7
October,,,,,,2.07,4.58,6.95,3.88,5.9,4.23,3.75,4.8,2.53,3.24,7.25,5.22,3.46,2.36,1.84
November,,,,,,4.71,2.89,2.91,1.04,0.83,4.69,4.16,1.53,3.96,4.08,2.31,3.78,1.66,2.3,
December,,,,,,0.86,2.25,5.35,3.93,5.24,5.92,7.69,4.81,1.78,7.05,8.08,4.28,1.29,3.39,
Total,,,,,,23.78,29.47,31.15,28.02,34.24,38.01,27.51,40.3,29.57,40.19,38.47,37.65,27.61,33.04,
,,,,,,,,,,,,,,,,,,,,
Seafield House,,,,,,,,,,,,,,,,,,,,
