SEATON,,,,,,,,,,,,
Grid ref,SY243899,Long,-3.073349,Lat,50.703792,,,,,,,
Station no,RR7932,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.06,5.64,1.12,1.21,1.44,,
February,,,,,,0.99,3.70,1.52,1.88,0.44,,
March,,,,,,4.41,1.60,0.73,2.81,4.96,,
April,,,,,,2.38,1.19,4.15,2.82,2.18,,
May,,,,,,0.46,2.91,2.21,1.75,1.16,,
June,,,,,,2.15,1.43,2.02,0.63,4.37,,
July,,,,,,0.69,1.25,1.76,1.41,3.23,,
August,,,,,,2.49,0.89,1.58,3.79,2.45,,
September,,,,,,1.51,1.14,0.85,2.87,2.04,,
October,,,,,,2.07,4.58,6.95,3.88,5.90,,
November,,,,,,4.71,2.89,2.91,1.04,0.83,,
December,,,,,,0.86,2.25,5.35,3.93,5.24,,
Total,,,,,,23.78,29.47,31.15,28.02,34.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.78,29.47,31.15,28.02,34.24,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
