UPWELL (MARMONT PRIORY LOCK),,,,,,,,,,,,
Grid ref,TF489012,Long,0.196522,Lat,52.588214,,,,,,,
Station no,1219,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.47,0.82,1.07,1.42,3.14,1.04,1.80,2.70,2.70,,
February,1.94,0.50,0.97,1.72,2.24,0.72,1.97,2.43,0.13,1.21,,
March,2.46,2.37,1.01,1.88,1.24,0.44,1.57,1.11,1.44,1.30,,
April,2.96,1.20,1.86,0.23,0.62,0.86,0.16,0.73,0.97,0.31,,
May,3.25,1.90,1.23,2.09,2.37,0.68,1.10,2.53,0.68,0.60,,
June,1.10,0.89,2.71,1.97,1.89,2.51,1.83,3.43,1.03,1.95,,
July,0.63,0.73,2.01,3.16,0.20,2.75,2.02,2.89,1.67,2.41,,
August,3.48,2.81,2.39,4.65,0.85,3.78,1.72,2.19,1.16,2.25,,
September,1.70,2.66,0.80,1.69,1.45,1.01,3.87,2.67,0.04,2.03,,
October,0.92,2.21,2.10,2.11,1.45,1.19,1.10,1.46,1.53,4.25,,
November,2.90,2.58,1.20,3.53,0.91,0.78,1.22,1.03,1.14,3.08,,
December,1.10,1.67,0.83,1.51,1.27,1.46,1.26,2.22,3.33,2.89,,
Total,24.65,20.99,17.93,25.61,15.91,19.32,18.86,24.49,15.82,24.98,,
Calc annual,24.65,20.99,17.93,25.61,15.91,19.32,18.86,24.49,15.82,24.98,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
