UPWELL MARMONT PRIORY LOCK,,,,,,,,,,,,
Grid ref,TF487013,Long,0.193617,Lat,52.589167,,,,,,,
Station no,1219,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.64,0.40,0.44,1.42,1.32,0.90,2.74,1.01,0.64,0.64,,
February,2.07,0.74,1.07,0.40,1.90,0.56,1.71,0.96,1.18,0.30,,
March,0.50,0.91,0.84,1.75,0.90,1.57,1.23,0.87,1.41,2.84,,
April,0.77,1.63,0.79,1.10,0.52,1.25,0.50,2.40,2.28,0.95,,
May,1.24,0.66,2.98,2.30,1.74,1.01,1.22,2.01,1.40,1.23,,
June,1.47,1.91,3.10,1.94,0.58,3.76,3.64,1.31,1.07,4.19,,
July,1.45,1.74,1.63,3.98,3.13,0.74,0.54,2.97,1.89,3.21,,
August,3.40,1.48,1.95,2.60,2.03,1.96,2.41,1.94,1.87,1.75,,
September,0.39,0.63,1.02,2.68,1.46,3.95,0.73,0.56,1.09,1.46,,
October,1.62,1.46,1.29,4.61,1.10,1.26,3.32,2.32,1.05,2.81,,
November,1.80,0.69,1.36,1.70,0.62,1.68,2.56,2.47,0.89,0.64,,
December,1.72,2.07,0.87,0.88,1.44,0.56,2.03,2.57,1.11,3.01,,
Total,19.07,14.32,17.34,25.36,16.74,19.20,22.63,21.39,15.88,23.03,,
Calc annual,19.07,14.32,17.34,25.36,16.74,19.20,22.63,21.39,15.88,23.03,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
