"MEXBOROUGH PROSPECT HO. DOLCLIFFE RD",,,,,,,,,,,,
Grid ref,SK473999,Long,-1.288516,Lat,53.493687,,,,,,,
Station no,3143,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.97,1.28,0.70,2.12,1.28,0.42,2.12,0.61,0.91,1.00,,
February,3.18,0.98,1.42,1.22,4.38,0.81,1.95,1.02,1.72,0.48,,
March,0.64,1.37,1.29,2.50,1.86,1.73,1.03,0.93,2.75,2.68,,
April,0.65,1.33,2.38,0.72,1.05,1.41,0.53,1.65,2.08,1.43,,
May,1.11,0.86,2.46,2.94,1.50,0.76,1.14,2.79,1.97,1.70,,
June,2.15,1.41,1.43,1.45,1.16,2.37,1.58,3.67,1.14,3.48,,
July,2.14,3.27,1.77,2.00,2.24,2.64,1.24,1.99,1.74,4.12,,
August,4.15,0.79,3.08,2.49,3.72,2.39,1.17,1.53,1.75,2.24,,
September,0.46,0.84,0.85,2.54,0.46,0.95,0.90,0.32,1.42,2.01,,
October,2.45,2.04,2.43,4.53,0.81,1.01,4.38,4.23,0.70,1.70,,
November,1.94,2.68,1.94,1.04,0.74,2.74,2.52,2.21,0.69,0.25,,
December,2.72,4.62,1.80,0.80,1.19,0.55,1.88,1.86,1.37,4.74,,
Total,24.56,21.47,21.55,24.35,20.39,17.78,20.44,22.81,18.24,25.83,,
Calc annual,24.56,21.47,21.55,24.35,20.39,17.78,20.44,22.81,18.24,25.83,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
