"BRANDESBURTON (HEMPHOLME LOCK)",,,,,,,,,,,,
Grid ref,TA080498,Long,-0.356496,Lat,53.933067,,,,,,,
Station no,3401,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.96,2.12,1.00,1.80,1.35,5.42,1.30,2.30,2.37,5.49,,
February,2.82,0.87,2.22,2.14,2.32,2.16,2.63,3.96,0.36,1.98,,
March,3.03,2.01,0.43,2.10,2.44,1.15,1.26,2.10,1.23,1.37,,
April,1.21,1.59,2.52,0.58,1.11,1.14,0.45,1.08,2.71,1.43,,
May,4.00,1.59,1.34,1.72,3.24,1.17,1.27,2.06,0.65,1.36,,
June,1.66,1.80,2.01,2.03,1.71,2.41,2.07,4.13,0.95,0.27,,
July,2.06,1.62,1.16,1.52,1.03,3.78,3.54,2.70,1.18,3.77,,
August,5.48,2.24,2.48,5.82,0.82,5.58,3.97,1.20,0.78,4.05,,
September,1.44,3.95,1.36,2.24,0.98,1.46,3.20,2.04,0.22,2.53,,
October,1.06,2.47,1.62,3.90,1.96,1.50,1.98,1.99,1.83,6.57,,
November,4.04,3.87,1.93,4.70,1.29,1.39,2.37,0.67,2.93,4.85,,
December,2.09,1.99,1.53,2.37,3.25,1.89,2.46,3.51,3.60,3.06,,
Total,30.85,26.12,19.60,30.92,21.50,29.05,26.50,27.74,18.81,36.73,,
Calc annual,30.85,26.12,19.60,30.92,21.50,29.05,26.50,27.74,18.81,36.73,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
