HONLEY NORTHGATE HOUSE - monthly gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SE141123,Long,-1.7883768,Lat,53.607072,Elevation,350,ft,,,,,,,,,,,,
Station no,RR2932,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,6.8,2.14,5.42,1.89,1.21,1.9,5.76,2.9,2.99,1.29,4.28,,1.08,2.47,1.56,4.85
February,,,,,2.78,4.08,0.71,0.68,1.23,2.48,1.14,0.15,3.35,5.3,7.32,,1.42,3.65,3.86,7.16
March,,,,,1.89,2.16,2.64,1.78,4.27,3.76,2.65,2.17,1.22,0.86,3.56,,4.48,4.46,1.57,1.75
April,,,,,1.81,1.8,2.76,1.12,2.69,3.91,1.56,2.03,1.15,0.76,2.32,,1.38,2.9,2.8,1.96
May,,,,,2.19,1.79,5.23,2.29,0.7,2.91,3.54,3.11,3.87,2.06,1.53,,0.44,1.28,2.86,2.4
June,,,,,1.24,3.61,1.21,0.3,2.83,0.5,2.4,2.5,3.94,1.35,3.2,,2.72,3.85,2.48,2.9
July,,,,,3.43,0.98,3.38,1.57,6.08,2.91,1.98,2.42,2.37,3.3,3.52,,1.17,0.84,1.02,1.65
August,,,,,1.41,1.3,1.27,1.59,2.83,3.51,4.46,5.46,3.24,1.92,2.92,,0.96,2.91,3.93,1.35
September,,,,,2.28,3.21,1.83,3.16,0.81,2.02,1.25,2.88,2.94,2.17,0.72,,6.84,2.52,0.25,1.58
October,,,,,1.93,5.98,4.52,3.18,1.51,5.78,1.73,5.92,8.24,1.96,5.84,,4.74,1.84,5.05,6.12
November,,,,,1.38,2.38,2.09,2.24,9.79,1.32,4.95,3.12,1.22,2.47,2.14,,1.58,4.47,3.42,3.8
December,,,,,4.19,1.45,6.07,2.6,2.38,1.88,0.77,8.46,1.64,4.15,3.18,,3.94,4.3,4.85,1.64
Total,,,,,31.33,30.88,37.13,22.4,36.33,32.88,32.19,41.12,36.17,27.59,40.53,,30.75,35.49,33.65,37.16
