BISHOPS AUCKLAND MOUNT PLEASANT,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ209295,Long,-1.6773181,Lat,54.661035,Elevation,325,ft,,,,,,,,,,,,
Station no,RR7490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,2.85,1.22,1.25,1.79,1.89,4.41,0.57,1.88,,
February,,,,,,,,,,,1.16,0.05,2.53,2.84,3.53,1.17,0.45,1.28,,
March,,,,,,,,,,,2.02,2.56,1.03,0.69,1.36,2.54,2.07,2.83,,
April,,,,,,,,,,,0.94,3.29,1.66,0.3,1.39,1.63,0.93,1.67,,
May,,,,,,,,,,1.97,2.41,1.54,2.53,2.24,1.61,0.69,0.54,1.63,,
June,,,,,,,,,,0.21,2.39,0.25,3.42,0.9,3.68,1.12,2.36,2.29,,
July,,,,,,,,,,2.83,1.83,4.74,2.38,2.86,2.26,6.58,2.33,0.94,,
August,,,,,,,,,,3.59,5.11,5.37,4.3,2.67,2.67,1.54,1.57,2.53,,
September,,,,,,,,,,0.66,1.98,2.03,2.92,2.13,0.83,0.52,3.09,1.99,,
October,,,,,,,,,,4.77,1.16,2.9,4.78,0.7,5.09,4.9,4.63,1.58,,
November,,,,,,,,,,1.2,3.91,2.47,1.28,2.04,0.71,3.21,1.25,1.68,,
December,,,,,,,,,,1.19,1.73,3.08,0.74,1.96,2.01,2.54,3.83,1.92,,
Total,,,,,,,,,,,27.49,29.5,28.82,21.12,27.03,30.85,23.62,22.22,,
,,,,,,,,,,,,,,,,,,,,
"Observer E Lingford lived at Stanley House, Etherley Lane in 1891 and built his baking powder factory in Durham St.",,,,,,,,,,,,,,,,,,,,
NGR for factory - elevation ok but distance from church is south not distance to church.,,,,,,,,,,,,,,,,,,,,
