KIMBOLTON (GRANTSFIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO526603,Long,-2.695557,Lat,52.238837,Elevation,424',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.52,0.94,2.59,0.89,1.4,2.63,2.73,3.23,3.1,3.6,1.22,3.76,2.11,3.53,2.94,4.23,1.26,5.36,1.7,3.39,1.95,2.94,0.82,3.97,3.64,3.12,4.88,3.25,3.43,2.4,5.43,2.02,1.39,3.03,1.9,4.56,1.2,0.59,2.34,2.23,0.65,1.77,2.98,3.32,1.55,1.71,3.63,5.35,,
February,,,,1.34,2.64,4.42,4.47,0.97,1.31,2.09,1.01,0.34,3.18,6.5,0.4,3.62,1.85,2.34,2.25,0.58,0.78,2.14,0.13,3.29,0.31,2.07,2.21,4.09,0.64,1.44,2.39,2.86,0.37,1.43,0.91,1.8,2.22,1.15,1.22,1.19,4.45,2.43,0.67,1.52,2.12,1.55,0.39,2.95,4.28,0.31,3.35,,
March,,,,5.14,2.5,0.43,3.11,2.29,1.48,5.01,2.9,1.72,3,1.1,1.36,0.73,0.39,2.79,2.51,0.22,2.47,0.5,1.61,2.3,1.74,0.82,2.28,2.47,0.13,1.15,1.56,2.64,2.12,0.8,0.43,1.22,0.95,5.63,1.09,1.53,1.9,3.72,1.85,1.31,2.39,2.54,0.96,1.58,1.62,2.31,1.72,,
April,,,,3.96,1.05,1,0.55,1.76,2.35,1.76,4.72,1.05,1.98,2.43,2.9,1.86,2.66,1.57,1.65,0.58,3.1,3.57,3.77,0.94,2.58,3.82,2.34,1.64,0.17,1.7,2.63,1.15,1.18,1.18,1.44,0.98,1.9,2.24,2.75,2.03,1.38,2.35,1.78,2.88,0.34,0.96,2.21,0.3,0.44,3.07,1.74,,
May,,,,2.42,1.59,3.36,3.13,3.65,2.3,0.45,3.23,1.04,1.27,1.53,6.58,4.59,2.56,1.25,0.92,2.1,2.04,4.65,6.29,1.28,1.52,0.96,1.04,2.18,1.97,0.76,2.08,2.71,3.38,3.08,0.84,3.2,3.16,2.81,2.88,2.9,1.21,3,2.61,1.69,2.32,4.39,0.71,1.37,2.32,0.94,1.43,,
June,,,,0.8,2.17,1.16,1.16,2.95,0.84,0.88,2.65,0.38,0.84,0.32,2.74,0.03,1.41,3.23,3.37,3.06,1.28,3.83,1.05,0.9,0.97,3.75,3.36,0.64,1.6,1.83,1.76,2.12,0.44,1.24,1.23,2.8,2.04,1.84,1.8,0.73,2.62,0.94,1.74,1.49,3.38,5.02,1.54,1.47,3.58,2.21,1.49,,
July,,,,0.89,4.33,4.91,2.36,2.63,3.25,2.27,4.54,0.61,3.24,2.71,3.52,2.49,2.52,2.39,1.46,1.6,3.12,3.01,4.05,1.38,3.47,0.39,5.16,2.8,2.52,4.37,2.99,2.68,1.46,1.42,1.67,3.25,1.89,1.83,1.07,0.65,3.57,1.5,0.76,2.13,1.51,1.38,3.97,2.04,2.9,1.5,2.15,,
August,,,,1.57,2.04,2.6,2.39,5.66,2.41,2.51,1.04,4.03,2.8,1.81,2.67,2.15,2.03,5.21,2.78,1.44,3.02,3.87,1.86,0.74,2.43,1.25,0.29,1.32,3.09,1.53,0.17,3.1,3.22,1.85,2.55,3.77,6.2,1.08,4.91,1.21,3.63,3.41,4.69,2.88,4.48,0.41,3.95,3.62,2.95,1.2,5.3,,
September,,,,3.08,0.96,0.91,0.84,1.76,6.83,1.62,2.76,0.73,2.16,1.52,4.16,3.42,1.13,4.17,1.39,1.28,3.66,1.76,2.69,1.47,1.57,3.46,2.35,2.13,1.45,0.72,0.62,0.94,1.6,2.43,2.56,1.8,3.85,1.04,2.72,2.13,3.66,2.13,2.54,1.94,1.94,0.87,3.01,4.48,8.54,0.25,4.39,,
October,,,,3.89,2.65,3.82,4.07,2.91,1.37,1.52,2.93,2.04,0.63,4.19,3.81,2.98,2.66,2.45,5.38,4.38,2.61,0.7,4.03,6.15,1.34,2.9,1.72,3.43,3.41,3.11,3.62,2.91,1.6,2.5,3.44,3.35,0.68,0.56,2.02,5.39,1.17,0.72,3.61,1.65,3.3,1.7,2.01,1.35,2.88,2.37,6.84,,
November,,,,3.05,3.2,2.22,2.28,0.93,2.09,1.06,1.04,2.34,1.21,1.95,2.61,2.21,6.18,2.78,3.06,7.55,2.74,5.02,1.47,0.62,1.9,4.89,2.86,1.29,3.53,5.58,7.07,2.42,0.95,1.8,3.82,0.63,5.32,1.61,1.77,3.35,4.19,6.37,2.38,1.67,6.39,3.11,0.9,2.22,2.65,4.21,4.78,,
December,,,,1.06,6.3,4.94,1.99,1.04,2.87,3.02,2.66,1.64,4.02,2.17,3.81,2.5,0.63,2.14,2.09,6.23,3.56,1.16,1.53,0.48,5.28,2.85,3.65,2.51,3.32,1.49,1.57,1.6,3.86,1.22,2.08,3.61,2.37,1.86,4.72,1.68,1.88,2.39,2.11,1.48,2.02,2.83,2.4,2.35,3.73,6.66,3.47,,
Total,,,,30.72,30.37,32.36,27.24,27.95,29.73,24.92,32.71,19.02,27.93,27.45,38.32,28.69,27.55,33.26,31.09,30.28,33.74,31.91,31.87,21.5,26.05,27.98,31.23,28.14,24.95,28.56,29.71,28.56,22.58,24.38,22.99,27.8,33.61,23.55,31.51,23.99,30.25,31.3,26.97,21.29,31.96,27.74,25.37,25.28,37.6,28.66,42.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
