TRELIGHTS-GWEL-MOR,,,,,,,,,,
Grid ref,SW990790,Long,-4.83953,Lat,50.57633,Elevation,365,ft,,
Station no,1892/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.01
February,,,,,,,,,,3.92
March,,,,,,,,,,1.72
April,,,,,,,,,,3.39
May,,,,,,,,,,1.84
June,,,,,,,,,,1.57
July,,,,,,,,,1.99,4.17
August,,,,,,,,,3.27,4.29
September,,,,,,,,,0.53,5.02
October,,,,,,,,,6.31,8.16
November,,,,,,,,,7.6,7.7
December,,,,,,,,,8.88,5.43
Total,,,,,,,,,,51.22
,,,,,,,,,,
Post 1960 known as Trelights SRC_ID 8806,,,,,,,,,,
1959-1973,,,,,,,,,,
