CAPEL HILL WEST,,,,,,,,,,
Grid ref,NO029519,Long,-3.585167,Lat,56.648798,Elevation,1170,ft,,
Station no,5554/65,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.2
February,,,,,,,,,,5.5
March,,,,,,,,,,3.2
April,,,,,,,,,3.45,5.35
May,,,,,,,,,1,3.45
June,,,,,,,,,1.6,2.2
July,,,,,,,,,4.35,3.05
August,,,,,,,,,1.6,3.2
September,,,,,,,,,0.9,2.75
October,,,,,,,,,4.3,8.1
November,,,,,,,,,5.8,4.5
December,,,,,,,,,8.6,3.35
Total,,,,,,,,,,48.85
,,,,,,,,,,
Station no,5554/65,,,,,,,,,
Midas,15199,,,,,,,,,
Hyd Stn,871106,,,,,,,,,
