MYTHOLMROYD-REDACRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE008263,Long,-1.9893518,Lat,53.733092,Elevation,315,ft.,,,,,,,,,,,,
Station no,3249/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,8.92,6.87,4.08,5.42,3.67,10.23,1.8,3.06,4.44,5.95,1.19,4.28,2.52,5.86,3.49,4.73,3.55,6.47
February,,1.47,3.56,2.29,5.05,7.65,1.37,3.73,3.29,6.91,4.62,1.57,2.24,5.46,2.56,1.29,3.52,7.37,0.32,3.89
March,,3.56,1.39,0.74,1.04,1.69,6.02,2.15,1.49,3,4.71,2.01,2.4,3.1,2.22,1.61,2.71,2.12,1.7,1.82
April,,2.65,3.41,4.09,2.81,1.76,5.5,3.31,4.06,4.41,2.76,2.89,3.63,0.52,1.42,4.03,0.28,1.28,3.6,2.67
May,,5.27,3.87,3.59,3.95,1.92,4.26,0.93,3.52,1.8,3.38,1.53,2.63,3.92,4.03,1.3,1.5,5.05,1.99,2.14
June,,1.29,3.88,3.61,4.19,3.07,2.91,4.81,0.62,1.44,1.23,2.86,2.88,2.39,2.17,2.68,2.03,4.69,1.73,1.31
July,,3.66,3.92,4.38,1.93,3.74,2.18,2.27,2.46,3.82,3.31,1.54,4.36,4.08,0.78,5.83,4.11,4,2.18,5.42
August,,5.37,5.87,3.39,3.87,6.8,0.33,4.06,2.88,5.27,4.16,5.43,4.62,7.34,0.52,7.97,5.54,3.58,0.67,5.18
September,,2.93,3.94,6.84,2.84,6.87,2.68,2.09,0.84,6.83,2.33,3.81,3.99,5.14,1.99,4.27,5.09,4.54,0.29,2.48
October,,5.84,3.33,5.65,6.1,1.18,1.04,1.93,4.65,3.04,1.55,5.26,2.39,7.53,2.51,2.35,4.93,4.09,4.41,5.93
November,,1.46,4.18,8.18,0.49,8.93,6.71,1.92,6.78,5.33,9.51,2.63,4.95,7.19,2.69,1.49,2.64,1.14,5.17,7.77
December,,4.12,3.17,6.24,3.65,4.43,4.92,4.67,8.41,2.55,8.83,4.36,1.7,6.93,5.83,4.91,5.11,4.9,8.47,5.05
Total,,,49.44,55.87,40,53.46,41.59,42.1,40.8,47.46,50.83,39.84,36.98,57.88,29.24,43.59,40.95,47.49,34.08,50.13
,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is near the Sewage Works, the record mentions a pumping station. Altitudes match",,,,,,,,,,,,,,,,,,,,
NGR might be 100m E to better match the relationship to the pumping station,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2619, continues to 2000",,,,,,,,,,,,,,,,,,,,
