KETTERING-WW-CRANSLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP833782,Long,-0.777229,Lat,52.395491,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.31,0.98,0.74,1.94,1.96,0.91,3.69,0.95,1.08,0.84,1.74,0.68,3.09,3.52,0.82,2.17,1.51,1.99,2.24,4.19,2.29,2.14,3.34,1.13,2.04,1.32,2.81,2.24,3.6,1.4,2.74,1.42,1.2,1.19,1.61,0.87,3.71,3.33,2.62,5.6,2.97,4.21,3.1,3.94,1.76,2,1.99,2.23,4.73,0.94,0.86,2.44,2.06,1.2,1.12,1.92,3.96,1.37,2.67,3.96,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.39,1.21,1.57,0.94,2.94,0.53,1.59,1.22,0.78,0.44,2.19,1.07,1.63,0.67,1.12,2.5,3.87,0.72,1.2,2.49,0.63,0.32,2.15,4.22,0.55,2.58,3.43,2.68,1.58,0.72,0.75,2.55,0.32,2.4,0.38,2.15,2.04,3.12,0.91,0.88,2.75,1.99,1.72,1.03,1.13,1.7,2.22,1.84,1.02,1.11,3.67,2.95,0.71,1.83,2.29,2.17,0.68,2.47,3.27,0.07,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.63,2.06,1.21,2.81,1.43,2.4,1.42,0.85,2.73,2.45,0.76,1.73,2.25,2.96,2.27,0.96,5.61,1.11,0.73,3.85,2.09,0.81,1.59,1.94,0.72,1.03,0.62,1.93,1.47,0.07,1.56,0.14,1.44,2.61,1.31,0.5,1.45,3.44,0.19,1.92,2.1,3.23,1.5,1.06,0.27,0.72,1.12,5.05,0.69,1.46,0.98,3.62,2.68,1.02,2.59,2.57,0.8,1.99,1.86,2.32,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.59,2.34,1.19,1.98,0.91,1.83,0.45,2.56,2.77,1.34,1.16,0.83,0.07,2.62,0.82,0.71,1.03,1.31,2.83,2.05,4.36,0.89,3.27,1.63,3.33,1.86,2.38,1.6,1.28,1.6,2.37,3.36,3.01,0.66,1.66,3.63,1.83,2.89,0.09,2.12,2.46,1.22,0.85,0.97,1.58,1,1.98,1.98,1.64,1.96,2.73,2.85,1.61,2.18,0.36,0.82,1.16,0.39,0.76,2.23,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.09,1.98,1.86,2.17,1.79,1.04,1.46,4.42,1.37,1.16,2.31,2.42,1.96,1.47,0.81,1.82,1.49,2.03,1.47,1.42,1.38,1.68,1.33,0.68,4.02,4.45,1.94,0.6,1.17,1.59,2.71,2.32,4.4,1.1,0.66,0.97,0.87,4.09,1.89,0.88,1.7,2.62,3.94,2.43,1.04,1.9,2.18,1.23,3.71,2.29,2.72,3.76,2.1,1.15,2.48,3.87,0.69,1.45,2.91,0.43,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.59,1.67,2.41,2.68,0.98,2.93,3.89,1.83,0.9,3.34,0.9,1.66,3.37,0.75,2.85,0.56,1.46,2.52,0.4,0.75,1.86,0.45,0.94,0.59,1.76,0.03,1.93,3.38,2.65,0.97,1.32,1.46,0.5,2.23,0.56,3.09,4.4,2.47,1.53,1.53,0.77,1.81,0.53,2.1,2.88,2.41,2.49,1.46,2.37,0.42,1.65,1.41,1.09,2.45,2.24,2.92,2.9,2.1,5.23,0.64,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.63,1.63,1,2.2,2.4,1.03,0.48,2.64,2.05,2.65,1.96,0.24,4.53,1.62,1.61,4.11,1.54,1.31,2.83,2.17,2.9,0.08,3.43,3.62,2.74,2.8,1.78,2.01,2.09,1.52,3.36,2.93,3.82,2.26,1.92,0.85,5.87,2.2,1.85,2.8,3.27,3.13,2.04,0.93,1.92,2.15,1.51,2.39,1.41,1.96,3.39,0.69,0.44,2.38,3.06,0.17,3.44,3.01,4.49,2.09,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.47,1.67,2.82,3.54,1.85,2.58,0.71,1.83,2.69,2.05,1.43,1.95,6.47,1.09,1.4,1.89,2.78,6.09,1.08,2.2,1.21,2.48,5.39,1.89,1.84,1.69,1.21,3.83,1.68,1.11,2.22,3.12,1.52,0.82,1.38,1.42,0.61,1.4,4.62,4.27,0.2,3.88,2.94,2.35,2.19,2.12,3.44,0.04,2.91,1.17,1.64,3.65,4.31,2.34,4.29,0.89,5.74,2.41,3.05,0.85,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.57,1,1.33,2.57,1.74,1.65,1,0.54,1.61,1.9,0.62,1.25,1.07,1.36,0.75,1.08,0.93,1.63,3.91,1.56,1.86,0.88,1.85,2.53,2.48,2.95,1.34,4.44,0.9,1.08,4.53,2.67,2.48,1.77,1.9,2.67,2.01,1.34,1.92,0.78,0.68,0.6,1.2,2.24,2.84,2.68,3.07,1.28,2.6,1.66,3.38,1.91,2,1.83,2.5,1.36,2.12,5.59,1.8,0.06,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.58,1.36,1.76,5.68,0.6,0.86,4.53,3.83,1.13,3.23,2.18,1.89,2.44,3.05,2.41,1.59,2.68,2.88,1.14,1.42,1.12,1.37,0.82,3.43,4.13,3.54,2.29,2.49,4.4,2.7,1.31,0.32,3.05,2,1.05,2.92,1.84,2.83,2.8,4.47,3.22,1.89,2.55,1.75,2.68,3.21,1.38,0.28,2.82,4.98,0.64,0.89,2.3,1.91,2.63,2.36,1.39,1.35,2.52,1.71,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.27,0.69,1.71,1.35,1.09,2.49,3.84,2.18,0.78,0.64,3.29,2.26,1.55,2.28,2.2,2.54,3.03,1,2.09,1.81,1.14,1.62,1.1,1.68,2.25,1.91,3.35,3.08,2.98,4.87,3.1,2.29,1.95,2.08,1.95,3.66,2.31,1.56,2.79,3.61,6.49,2.99,2.71,1.67,3.3,0.4,5.68,1.41,1.58,2.58,3.9,5.02,2.87,1.7,4.73,1.3,0.69,1.68,1.82,2.31,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
