PEEBLES KAILZIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NT278383,Long,-3.1483567,Lat,55.63288,Elevation,557,ft,,,,,,,,,,,,
Station no,RR7377,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.21,5.8,1.86,2.5,1.61,5.58,,,,,
February,,,,,,,,,,3.07,0.91,0.57,3.23,3.98,8.83,,,,,
March,,,,,,,,,,2.42,3.16,5.39,1.9,0.92,2.93,,,,,
April,,,,,,,,,,2.95,1.49,1.89,1.32,2.18,1.82,,,,,
May,,,,,,,,,,1.23,1.82,1.37,3,2.42,4.05,,,,,
June,,,,,,,,,,1.54,3.11,1.01,3.05,2.96,2.34,,,,,
July,,,,,,,,,,3.9,3.22,3.88,1.62,2.34,1.96,,,,,
August,,,,,,,,,,5.8,5.8,4.87,5.12,3.2,5.5,,,,,
September,,,,,,,,,,1.49,2.64,7.02,2.52,1.72,0.41,,,,,
October,,,,,,,,,,3.92,3.09,4.86,4.69,2.71,2.89,,,,,
November,,,,,,,,,,0.5,7.51,4.39,2.64,3.03,4.25,,,,,
December,,,,,,,,,,3.51,2.3,8.3,1.69,5.44,3.31,,,,,
Total,,,,,,,,,,31.54,40.85,45.41,33.28,32.51,43.87,,,,,
