HELVELLYN (BROWN COVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY333189,Long,-3.032968,Lat,54.560917,Elevation,1100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3633/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,20.5,13.16,16.45,3.5,15.45,20.3,14.67,14.89,1.87,4.25,8.38,18.15,16.62,7.5,11.03,15.22,14.68,9.44,7.85,10.5,8.21,5.41,7.37,7.96,6.27,14.06,8.45,5.44,10.75
February,,0.29,7.19,0.52,13.7,6.78,9.82,5.16,16.05,3.88,10.63,3.25,7.46,4.93,13,5.15,2.5,10.16,7.83,14,10.3,2.89,4.62,7.75,3.46,1.81,10.14,9.2,2.57,12.43
March,,5.3,6.86,7.6,2.2,9.62,7,5.39,8.59,9.63,4.88,8.07,3.49,1.22,5.56,5.61,9.6,9.69,2.84,6.27,8.2,6.5,1.24,7.7,3.64,3.66,6.51,1.88,7.33,2.76
April,,7.41,3.63,8.51,7.06,1.92,5.83,0.96,3.23,4.02,4.81,6.21,5.28,5.68,3.72,2.55,13.29,3.88,11.47,6.18,7,6.63,6.52,2.33,3.89,2.38,1.85,2.91,7.64,8.32
May,,6.18,5.14,8.2,0.75,2.15,3.81,7.6,1.89,2.8,5.71,9.66,8.32,4.32,6.73,2.1,5.58,3.55,4.96,3.77,4.17,5.94,4.97,7.59,8.63,4.75,4.11,9.01,2.17,3.86
June,,6.52,3.24,3.62,10.26,6.68,4.23,12.77,7.54,1,0.76,2.01,6.78,7.04,6.86,7.79,6.09,11.75,2.08,4.6,1.69,4.13,4.75,7.68,6.86,5.67,2.15,6.9,6.15,4.68
July,,10.47,8.8,2.44,4.11,10.5,5.03,13.63,13.3,10.27,2.29,6.16,6.04,4.72,6.57,6.47,5.97,6.63,3.1,7.03,5.71,5.58,12.83,8.68,4,8.93,6.46,5.27,8.16,9.47
August,,2.52,5.99,10.76,4.78,4.38,4.98,5.52,4.96,3.55,14.08,11.06,13.91,5.84,2.82,11.99,0.07,11.38,6.34,15.11,10.4,12.37,9.31,9.9,4.61,15.55,9.74,7.13,1.52,5.93
September,,9.31,3.14,14.04,16.54,10.92,7.83,6.14,2.99,7.63,2.64,10.32,10.99,9.02,10.27,15.57,7.89,10.95,4.26,21.64,13.8,8.42,13.78,14.22,6.23,7.62,9.08,10.72,1.3,5.85
October,,13.66,7.58,12.29,15.17,7.92,7.14,20.5,5.53,10.96,8.74,10.28,14.4,10.65,12.49,1.43,2.42,8.05,13.01,8.46,1.54,11.92,5.41,21.52,7.85,5.96,9.75,8.67,11.07,8.26
November,,5.94,5.43,3.71,10.38,11.66,2.25,18.66,15.63,11.26,8.4,2.69,5.44,15.03,0.78,18.86,15.8,8.88,16.65,9.46,24.08,4.59,16.76,24.91,5.71,3.05,4.11,1.57,13.92,23.13
December,,18.81,0.91,21.39,6,20.78,6.32,10.88,5.18,9.79,5.88,17.1,5.84,10.69,9.44,12.18,4.5,14.19,15.82,3.47,13.8,6.83,6.03,11.68,11.94,13.76,9.14,8.04,19.51,10.93
Total,,106.91,71.07,109.53,94.45,108.76,84.54,121.88,99.78,76.66,73.07,95.19,106.1,95.76,85.74,100.73,88.93,113.79,97.8,107.84,111.19,84.01,91.63,131.33,74.78,79.41,87.1,79.75,86.78,106.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan-June all part estimated but left here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan/Feb part estimated - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb/Mar part estimated for snow - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
