"PENRITH (ARTHUR STREET)",,,,,,,,,,,,
Grid ref,NY515309,Long,-2.753544,Lat,54.670824,,,,,,,
Station no,3606,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,3.29,0.97,2.56,2.04,1.97,-999.00,2.42,,,,
February,4.45,0.59,1.14,2.31,1.10,0.75,-999.00,4.32,,,,
March,3.23,1.14,0.32,1.90,0.70,1.08,-999.00,0.88,,,,
April,1.93,1.95,2.28,0.59,0.50,0.60,0.39,0.73,,,,
May,1.61,1.86,1.69,2.26,2.44,1.16,-999.00,3.34,,,,
June,0.96,1.74,1.90,2.27,1.40,2.00,0.90,3.84,,,,
July,2.45,1.78,2.84,2.66,1.17,2.38,-999.00,2.90,,,,
August,3.51,3.89,3.28,4.12,2.34,6.48,,3.67,,,,
September,3.08,2.37,3.95,4.95,2.14,3.02,,4.20,,,,
October,0.74,3.80,1.90,7.65,2.25,1.99,,3.38,,,,
November,8.53,1.85,3.46,6.06,1.94,1.30,-999.00,0.80,,,,
December,5.05,3.48,1.46,3.25,3.50,3.75,3.90,3.01,,,,
Total,38.37,27.74,25.19,40.58,21.52,26.48,-999.00,33.49,,,,
Calc annual,38.37,27.74,25.19,40.58,21.52,26.48,5.19,33.49,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-1004.19,0.00,NaN,NaN,,
