HEIGHINGTON WALWORTH CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ231189,Long,-1.644265,Lat,54.564806,Elevation,290,ft,,,,,,,,,,,,
Station no,RR7495,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.9,2.85,2.78,1.3,0.87,,,,,,,
February,,,,,,,,,1.28,1.85,5.22,1.26,1.56,,,,,,,
March,,,,,,,,,1.89,1.14,1.17,2.28,1.11,,,,,,,
April,,,,,,,,,2.4,2.78,1.52,2.05,1.8,,,,,,,
May,,,,,,,,,1.77,4.01,1.4,1.67,2.65,,,,,,,
June,,,,,,,,,2.61,1.81,2.59,1.29,2.25,,,,,,,
July,,,,,,,,,0.65,3.05,0.96,4.4,3.77,,,,,,,
August,,,,,,,,,2.1,1.09,6.48,1.48,2.75,,,,,,,
September,,,,,,,,,0.41,2.91,0.73,2.06,0.48,,,,,,,
October,,,,,,,,,4.04,1.68,5.2,2.08,2.51,,,,,,,
November,,,,,,,,,2.77,1.56,2.59,5.09,1.38,,,,,,,
December,,,,,,,,,1.85,3.11,0.88,4.06,2.52,,,,,,,
Total,,,,,,,,,22.67,27.84,31.52,29.02,23.65,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Record has elevation of between 150-205', nothing is that low in the vicinity of Walworth Castle",,,,,,,,,,,,,,,,,,,,
