HEIGHINGTON WALWORTH CASTLE,,,,,,,,,,,,
Grid ref,NZ231189,Long,-1.644265,Lat,54.564806,,,,,,,
Station no,RR7495,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.78,1.30,0.87,,,,,,,,,
February,5.22,1.26,1.56,,,,,,,,,
March,1.17,2.28,1.11,,,,,,,,,
April,1.52,2.05,1.80,,,,,,,,,
May,1.40,1.67,2.65,,,,,,,,,
June,2.59,1.29,2.25,,,,,,,,,
July,0.96,4.40,3.77,,,,,,,,,
August,6.48,1.48,2.75,,,,,,,,,
September,0.73,2.06,0.48,,,,,,,,,
October,5.20,2.08,2.51,,,,,,,,,
November,2.59,5.09,1.38,,,,,,,,,
December,0.88,4.06,2.52,,,,,,,,,
Total,31.52,29.02,23.65,,,,,,,,,
Calc annual,31.52,29.02,23.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
