PEMBURY (WATERWORKS),,,,,,,,,,,,
Grid ref,TQ627421,Long,0.325117,Lat,51.155028,,,,,,,
Station no,335,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,2.26,1.05,1.34,3.94,5.08,1.94,3.35,2.66,3.10,,
February,6.66,0.87,1.16,1.89,2.14,0.94,3.80,2.30,0.09,2.46,,
March,3.54,3.22,0.20,3.28,1.27,0.92,0.81,1.70,1.95,1.83,,
April,2.03,1.43,2.10,0.41,0.19,1.34,0.21,1.50,2.35,0.69,,
May,1.85,1.56,1.04,2.72,3.83,0.35,1.41,1.90,1.35,2.11,,
June,1.96,0.96,1.68,3.01,2.00,2.52,1.20,4.56,0.66,1.66,,
July,1.73,0.71,2.67,2.70,3.54,3.54,5.23,1.72,1.94,2.88,,
August,4.50,3.44,1.87,2.87,0.75,2.69,2.70,4.40,0.97,4.20,,
September,4.04,3.39,3.76,1.95,2.44,2.54,3.21,2.73,0.16,2.70,,
October,1.43,2.57,2.94,2.08,4.61,1.58,1.11,3.64,2.39,7.32,,
November,5.79,4.32,1.50,6.41,1.25,1.05,3.36,1.47,3.79,6.20,,
December,3.32,2.68,0.81,1.82,2.90,4.30,2.18,4.20,6.47,3.38,,
Total,39.95,27.41,20.78,30.48,28.86,26.85,27.16,33.47,24.78,38.53,,
Calc annual,39.95,27.41,20.78,30.48,28.86,26.85,27.16,33.47,24.78,38.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
