"FAIRFIELD, LORTON, NR COCKERMOUTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY154268,Long,-3.311984,Lat,54.629214,Elevation,255,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,8.3,10,6,5,2.9,10.7,5.3,1.7,2.1,0.6,5.7,9.22,6.34,3.37,5.47,4.56,2.46,3.32,6.99,3.49,4.33,2.25,5.82,2.72,2.82,1.21,4.27,7.95,5.97,3.15,4.22,6.61,5.4,2.2,6.53,1.63,6.4,4.42,4.22,3.18,3.39,4.05,3.88,,,,,
February,,,3.7,0.8,4.1,1.3,4.3,5.3,3.1,2.9,5.5,3.8,4.9,5.89,6.15,8.67,1.61,3.22,1.25,2.86,1.19,0.48,2.01,6.03,7.15,0.76,3.25,3.62,4.53,3.45,6.84,2.09,0.92,7.89,4.21,3.03,3.65,2.46,3.78,3.52,8.1,5.65,2.62,3.27,7.31,,,,,
March,,,3.8,3.1,3.5,1.3,3.8,2.9,3,4.1,1.7,3.3,4.4,2.92,5.94,4.64,5.16,1.44,4.21,2.95,3.44,1.77,1.97,1.8,3.27,4.37,6.6,6.95,1.92,3.4,0.79,2.93,3.46,10.29,4.1,4.77,3.16,5.28,4.86,4.05,4.44,1.62,6.99,6.25,5.29,,,,,
April,,,1.4,0,1.4,1.1,2.2,2.3,1.7,1,3.4,1,5.1,2.66,1.65,3.9,3.17,3.67,2.55,2.62,1.41,2.03,1.62,0.55,1.94,2.91,2.57,2.61,5.15,4.37,2.56,2.76,2.63,2.01,3.86,4.56,1.47,3.44,1.58,3.24,3.38,5.01,0.93,5.86,1.9,,,,,
May,,,2.8,1.5,0.7,2.2,3.1,3.7,2.4,1.6,1.4,3.7,3.3,2.32,4.86,3.32,5.32,2.28,2.28,3.38,3.16,3.25,4.88,2.26,4.07,1.75,0.63,2.95,3.48,4.05,3.11,2.04,2.8,3.06,3.18,2.78,5.92,4.6,2.87,1.87,2.97,3.89,2.09,2.9,2.74,,,,,
June,,,3.9,2.5,0.3,3.7,3.7,4.4,2.3,3.2,2.6,2.6,5.2,4.41,2.63,1.87,1.43,0.63,1.17,0.83,5.45,1.36,3.95,2.42,3.47,1.23,3.38,3.61,3.04,1.44,3.02,2.25,1.76,1.47,2.09,2.33,2.4,6.37,3.1,2.71,1.93,5.93,5.65,4.93,1.91,,,,,
July,,,3.3,5.5,2,2.8,2,4.7,0.4,6.2,3.6,7,7.2,2.89,5.21,3.49,4.8,4.08,6.27,2.88,4.5,2.31,2.57,4.27,3.11,4.84,4.79,2.36,0.8,2.86,2.36,1.04,2.94,4.53,3.81,2.07,3.4,2.21,4.32,7.08,4.68,1.03,5,0.78,6.52,,,,,
August,,,2.8,4.7,6.8,3.2,4.1,7.2,3.4,4.5,2.1,7.2,5.4,3.95,2.24,2.7,2.98,2.46,3.48,5.35,4.82,11.06,7.67,4.59,5.79,7.02,3.25,6.46,6.42,1.52,8.73,5.26,3.07,6.52,4.83,3.26,6.51,5.63,7.58,3.18,7.03,3.79,5.98,3.21,3.72,,,,,
September,,,6.6,2.2,6.7,5,3.6,3.5,6.2,5.1,5.2,2.2,3.7,4.94,6.11,6.83,8,5.83,2.38,3.35,6.28,9.62,9.15,5.88,0.45,1.64,6.29,4.96,2.54,7.76,4.65,2.81,2.48,6.51,2.3,3.9,1.18,0.46,5.53,2.59,0.77,3.3,2.01,2.77,2.63,,,,,
October,,,8.2,6.3,10.8,4.4,3.2,7.4,5.7,2.7,2.2,2.8,4,6.15,3.45,5.57,5.7,3.31,5.87,5.83,3.91,8.44,5.11,5.66,5.11,5.53,7.33,3.13,4.36,5.36,6.36,6.89,4.58,11.03,2.77,3.63,7.51,8.97,1.78,10.94,2.58,5.8,5.44,5.11,1.52,,,,,
November,,,6.8,3.5,5.3,4.2,2.4,11.4,3.1,1.9,6.4,6.2,8.4,7.62,2.13,3.4,5.3,3.53,6.59,2.42,9.34,5.16,3.82,3.59,7.72,5.47,2.19,9.28,6.39,7.78,4.24,7.73,3.34,4.09,4.22,5.4,4.65,4.68,4.26,2.28,4.83,7.27,5.88,4.65,6.53,,,,,
December,,,7.2,2.4,2.6,3.2,5.9,5.9,1.9,3.8,5.7,4.9,4.3,5.3,6.1,2.27,6.22,3.9,5.32,5.69,0.78,10.07,2.82,7.4,4.91,3.99,5.39,7.37,7.14,3.82,9.38,6.44,5.91,5.1,6.42,3.77,3.93,7.38,4.34,8.68,6.82,10.66,8.79,4.99,8.35,,,,,
Total,,,58.8,42.5,50.2,37.4,41.2,69.4,38.5,38.7,41.9,45.3,61.6,58.27,52.81,50.03,55.16,38.91,43.83,41.48,51.27,59.04,49.9,46.7,52.81,42.23,48.49,54.51,50.04,53.76,58.01,45.39,38.11,69.11,47.19,41.7,50.31,53.11,50.4,54.56,51.75,57.13,54.77,48.77,52.3,,,,,
