Rainfall at,WEARDALE W.W. (WASKERLEY 3),
Grid ref,NZ004433,Long,-1.995304,Lat,54.784602
Station no,3543,
,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.30,5.76,1.12,3.38,3.10,4.15,3.38,3.33,3.25,5.90,
February,3.30,1.60,1.90,3.00,3.70,3.92,2.97,5.30,0.52,5.17,
March,4.50,1.70,0.33,3.05,2.41,2.00,1.71,3.18,1.25,3.40,
April,2.70,1.70,3.15,0.83,0.65,1.37,0.58,1.98,2.98,1.83,
May,4.68,2.00,3.20,5.32,2.48,0.88,1.52,3.78,0.80,2.32,
June,1.35,1.39,4.38,2.08,2.70,3.30,1.19,4.07,2.42,0.62,
July,1.83,1.22,2.08,2.40,1.42,3.12,4.09,3.01,1.30,5.55,
August,5.02,4.03,4.97,8.72,1.12,9.25,5.50,3.90,1.32,4.32,
September,1.95,5.65,2.52,3.94,1.40,3.95,4.21,2.71,1.20,3.04,
October,0.90,5.58,2.25,6.03,2.31,2.24,2.86,2.38,2.40,11.85,
November,8.81,3.29,2.25,6.30,2.23,1.28,2.85,0.61,6.20,3.97,
December,5.16,3.30,1.35,4.25,4.52,3.20,3.50,5.40,6.60,3.22,
Total,43.50,37.22,29.50,49.30,28.04,38.66,34.36,39.65,30.24,51.19,
Calc annual,43.50,37.22,29.50,49.30,28.04,38.66,34.36,39.65,30.24,51.19,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,
