SEVENOAKS-PURLEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ531559,Long,0.19384204,Lat,51.281672,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.48,2.12,3.21,2.89,0.82,1.28,3.65,3.29,0.83,2.8,4.93,,,2.75,0.55,2.92,3.38,0.89,0.86,2.42,4.12,1.12,,,,
February,,,,,1.95,3.03,0.58,0.52,1.76,3.09,1.21,0.05,1.73,4.33,2.71,,,2.29,1.48,2.35,4.21,1.28,1.29,1.46,3.47,0.92,,,,
March,,,,,1.93,1.65,1.66,1.68,4.66,2.61,2.94,2.24,1.95,0.73,1.53,,,4.35,1.61,0.91,1.16,2.69,2,2.36,1.33,3.68,,,,
April,,,,,1.63,2.5,2.17,2.43,2.16,3.15,2.7,0.72,2.07,0.01,2.76,,,1.33,1.14,3.07,1.1,2.11,0.55,2.38,1.12,2.12,,,,
May,,,,,0.74,3.85,4.08,2,1.09,3,1.73,3.76,1.29,0.46,2.31,,,1.28,3.19,1.16,1.31,0.85,2.95,2.36,2.24,1.04,,,,
June,,,,,1.64,1.29,0.54,1.26,5.92,1.9,2.25,1.84,5.28,0.77,2.48,,,1.75,2.09,1.38,2.75,1.82,3.78,5.55,1.09,5.18,,,,
July,,,,,1.93,0.25,2.77,0.99,5.31,2.6,5.5,4.52,2.6,3.22,5.28,,,0.42,0.57,1.37,1.21,1.23,1.57,6.17,1.45,1.65,,,,
August,,,,,0.93,1.15,1.64,2.62,3.32,2.73,4.13,4.51,4.13,1.07,2,,,2.93,1.29,0.82,2.84,2.05,2.79,5.02,1.89,2.34,,,,
September,,,,,4.97,4.78,2.5,2.38,1.59,1.55,0.72,1.69,2.83,1.91,3.12,,,2.96,0.47,3.24,1.29,1.32,0.49,2.71,1.86,2.54,,,,
October,,,,,1.74,4.32,2.77,2.22,1.7,6.11,1.42,7.7,5.83,4.86,4.89,,,0.41,2.9,2.4,2.26,2.72,3.13,6.48,2.2,1.61,,,,
November,,,,,0.82,2.85,4.24,4.73,4.96,1.74,3.53,2.98,4.06,3.19,4.97,,,1.37,3.04,5.11,3.21,0.83,1.82,2.9,1.72,4.03,,,,
December,,,,,3.8,1.76,4.28,2.1,2.2,2.29,0.66,4.36,2.75,2.92,2.13,,,3.12,2.32,1.67,3.46,4.55,1.64,2.11,2.86,0.76,,,,
Total,,,,,24.56,29.55,30.44,25.82,35.49,32.05,30.44,37.66,35.35,26.27,39.11,,,24.96,20.65,26.4,28.18,22.34,22.87,41.92,25.35,26.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Gauge moved a short distance to Dartford Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
