"HOLMBURY ST MARY (BULMER FARM)",,,,,,,,,,,,
Grid ref,TQ113441,Long,-0.408875,Lat,51.185303,,,,,,,
Station no,187/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.80,2.69,1.58,1.66,3.50,4.82,2.74,3.74,3.52,3.70,,
February,7.58,1.04,1.67,2.85,1.97,0.37,4.69,2.62,0.08,2.75,,
March,5.08,3.29,0.58,3.46,1.78,1.02,2.13,2.38,3.30,2.41,,
April,3.34,2.18,2.97,0.42,0.23,1.72,0.49,1.17,3.32,0.99,,
May,3.44,2.48,2.58,2.27,4.55,0.53,1.71,2.78,0.60,1.68,,
June,1.32,2.15,2.32,4.50,2.27,2.95,1.15,4.09,1.45,2.58,,
July,2.34,2.21,4.70,3.82,1.18,4.57,4.58,1.80,1.32,4.82,,
August,5.31,3.94,2.27,2.98,1.26,3.88,3.30,4.11,2.39,4.07,,
September,3.46,3.19,3.42,3.14,2.17,3.73,3.22,5.37,0.10,3.66,,
October,1.04,4.54,3.92,3.42,4.55,1.28,2.08,3.46,3.94,7.52,,
November,9.28,3.78,2.12,6.43,2.39,1.19,3.10,2.89,3.96,6.32,,
December,3.84,2.97,0.99,2.69,3.42,5.05,2.70,3.87,6.61,4.20,,
Total,50.83,34.46,29.12,37.64,29.27,31.11,31.89,38.28,30.59,44.70,,
Calc annual,50.83,34.46,29.12,37.64,29.27,31.11,31.89,38.28,30.59,44.70,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,,
