SILVERDALE (HAWTHORN BANK),,,,,,,,,,,,,,,,,,,,
Grid ref,SD458757,Long,-2.8318077,Lat,54.174212,Elevation,80,ft,,,,,,,,,,,,
Station no,3036/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.93,3.41,6.25,4.95,3.12,1.13,4.87,7.47,,,,,,,
February,,,,,,2.23,7.36,2.35,3.88,2.07,4.55,2.35,3.3,,,,,,,
March,,,,,,2.74,1.59,1.78,1.93,4.83,2.76,3.26,1.52,,,,,,,
April,,,,,,0.92,3.81,0.72,2.31,2.8,1.4,2.08,2.88,,,,,,,
May,,,,,,1.59,2.89,4.13,1.09,1.32,4.16,3.72,4.73,,,,,,,
June,,,,,,4.1,2.1,4.42,3.91,1.28,0.45,1.31,3.68,,,,,,,
July,,,,,,4.78,3.26,5.57,6.55,5.9,1.51,5.79,6.2,,,,,,,
August,,,,,,3.64,2.48,4.17,2.11,1.97,4.72,5.86,9.85,,,,,,,
September,,,,,,8.12,3.91,1.52,1.48,5.09,1.54,5.54,5.45,,,,,,,
October,,,,,,4.54,2.52,10.88,1.57,5.45,9.33,5.29,7.56,,,,,,,
November,,,,,,5.93,2.29,7.28,6.28,5.12,2.92,2.5,3.87,,,,,,,
December,,,,,,8.07,3.58,5.79,3.9,5.36,3.14,6.06,3.49,,,,,,,
Total,,,,,,51.59,39.2,54.86,39.96,44.31,37.61,48.63,60,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
