MALVERN (SURVEYOR'S DEPOT),,,,,,,,,,
Grid ref,SO790461,Long,-2.3080746,Lat,52.11282,Elevation,203,ft,,
Station no,2382,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.92,1.46,2.31,4.42,5.93
February,,,,,,0.29,2.78,4.73,0.13,2.33
March,,,,,,0.86,2.22,1.22,2.76,2.86
April,,,,,,1.71,0,0.51,3.24,1.38
May,,,,,,0.79,1.82,2.78,0.97,1.51
June,,,,,,1.72,1.69,3.19,1.21,2.02
July,,,,,,2.69,3.64,2.94,1.73,2.83
August,,,,,,3.93,4.88,2.08,1.21,3.01
September,,,,,,3.86,4.64,5.96,0.1,4.25
October,,,,,,1.26,1.1,2.47,2.38,7.05
November,,,,,3.66,0.68,2.54,2.68,4.51,4.62
December,,,,,2.35,2.44,2.24,3.88,5.47,3.15
Total,,,,,,24.15,29.01,34.75,28.13,40.94
,,,,,,,,,,
"Gauge moved here in Nov 1955, from the Free Library",,,,,,,,,,
