"BERAGH CLOGHERNY - gauge at 1'4"" above ground",,,,,,,,,,,,,,,,,,,,
Grid ref,IH530677,Long,-7.181046,Lat,54.555064,Elevation,428,ft,,,,,,,,,,,,
Station no,RR4891,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.07,5.32,2.46,2.04,,,,,,,,,
February,,,,,,,,4.44,1.79,2.11,3.08,,,,,,,,,
March,,,,,,,,3.12,2.07,2.47,2.72,,,,,,,,,
April,,,,,,,,2.23,2.62,2.27,4.19,,,,,,,,,
May,,,,,,,,2.9,4.67,4.39,1.59,,,,,,,,,
June,,,,,,,,4.65,3.81,5.24,4.08,,,,,,,,,
July,,,,,,,,4.34,0.7,6.96,3.84,,,,,,,,,
August,,,,,,,,5.14,4.45,3.1,2.27,,,,,,,,,
September,,,,,,,,2.63,4.6,5.78,3.47,,,,,,,,,
October,,,,,,,,5.08,6.1,2.5,0.85,,,,,,,,,
November,,,,,,,,5.7,3.03,1.31,4.93,,,,,,,,,
December,,,,,,,,4.97,2.84,2.45,4.02,,,,,,,,,
Total,,,,,,,,52.27,42,41.04,37.08,41.16,,,,,,,,
