BERAGH CLOGHERNY - 0.8' above ground,,,,,,,,,,,,,,,,,,,,
Grid ref,IH530677,Long,-7.181046,Lat,54.555064,Elevation,428,ft,,,,,,,,,,,,
Station no,RR4891,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.68,5.49,2.64,2.17,,,5.84,,,,,,
February,,,,,,,,4.59,1.84,2.21,3.24,,,4.12,,,,,,
March,,,,,,,,3.16,2.1,2.6,2.84,,,2.09,,,,,,
April,,,,,,,,2.22,2.54,2.33,4.37,,,1.78,,,,,,
May,,,,,,,,3,4.65,4.39,1.59,,,1.82,,,,,,
June,,,,,,,,4.8,3.85,5.27,4,,,2.5,,,,,,
July,,,,,,,,4.31,0.74,6.94,3.9,,,3.95,,,,,,
August,,,,,,,,5.12,4.5,3.13,2.26,,,4.27,,,,,,
September,,,,,,,,2.67,4.64,5.86,3.5,,,4.8,,,,,,
October,,,,,,,,5.09,6.03,2.53,0.88,,,5.08,,,,,,
November,,,,,,,,5.78,3.05,1.33,5.27,,,5.19,,,,,,
December,,,,,,,,4.98,3.17,2.63,4.22,,,3.37,,,,,,
Total,,,,,,,,53.4,42.6,41.86,38.24,,,44.81,,,,,,
,,,,,,,,,,,,,,,,,,,,
1881 and 1882 records from the two gauges mixed,,,,,,,,,,,,,,,,,,,,
