SOUTHAM (BANBURY ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP416612,Long,-1.392102,Lat,52.247415,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2449/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.82,2.6,2.43,2.42,3.57,1.9,1.95,1.89,1.77,4.87,1,0.34,2.49,1.73,1.16,0.95,2.25,3.04,0.99,3.11,3.77,3.64
February,,,,,,,,,1.22,2.07,2.16,1.11,1.44,1.14,2,1.98,1.35,1.11,1,3.85,2.93,0.35,1.29,2.48,1.28,0.47,2.67,3,0.07,1.69
March,,,,,,,,,1.5,1.94,2.33,1.59,0.52,0.24,0.84,1.18,5.1,0.83,1.42,1.01,3.71,2.1,1.14,2.42,1.83,0.67,1.8,1.28,2.42,0.94
April,,,,,,,,,1.59,2.29,1.1,0.98,0.73,1.55,1.04,2.06,1.76,1.34,2.03,1.92,2.5,1.57,1.94,0.43,1,0.79,0.2,0.54,2.33,0.54
May,,,,,,,,,1.02,1.59,1.84,2.67,2.46,0.89,2.75,2.41,1.45,4.15,2.31,3.37,2.99,2.91,1.05,2.77,4.4,0.49,1.32,2.03,0.38,1.59
June,,,,,,,,,2.24,0.4,2.3,0.33,3.39,2.36,2.58,2,0.99,2.27,0.34,2.38,1.08,1.91,1.46,2.5,2.45,2.55,1.34,4.7,0.74,3.01
July,,,,,,,,,4.86,3.96,4,1.29,0.75,2.33,1.62,2.12,1.99,2.16,0.58,3.26,0.93,0.37,2.86,2.9,0.14,2.13,2.84,3.18,1.28,3.1
August,,,,,,,,,3.32,0.11,4.29,2.56,1.41,2.27,1.68,5.17,0.25,5.58,1.02,1.76,4.53,5.23,2.45,3.87,0.25,4.55,3.29,3,0.67,4.08
September,,,,,,,,,0.83,0.9,0.34,0.82,1.53,3.9,1.42,3.21,1.66,2.99,2.93,3.53,1.77,1.49,1.9,2,2.15,2.35,3.75,2.74,0.17,4.23
October,,,,,,,,,4.51,3.17,2.3,2.86,1.76,3.12,4.23,0.83,0.18,2.85,6.66,0.6,0.91,3.16,2.08,2.87,1.35,1.48,1.3,2.34,2.2,3.97
November,,,,,,,,,3.8,6.75,2.52,2.04,1.47,3.76,0.21,5.01,1.62,1.29,2.03,3.35,5.09,2.33,1.44,4.67,0.93,0.72,1.77,1.9,1.7,2.61
December,,,,,,,,,1.32,1.3,1.47,2.2,0.8,1.13,2.84,2.4,2.14,2.03,1.19,1.1,1.59,2.52,0.73,1.73,1.8,3.05,2.13,2.22,3.64,2.69
Total,,,,,,,,,31.03,27.08,27.08,20.87,19.83,24.59,23.16,30.26,20.26,31.47,22.51,26.47,30.52,25.67,19.5,29.59,19.83,22.29,23.4,30.04,19.37,32.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10191,SOUTHAM: 74 BANBURY ROAD ,01/01/1939,31/12/1983,SP4170261155,,,,,,,,,,,,,,,,,,,,,,,,,,
