CHESHAM-BOIS-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU966991,Long,-0.6041491,Lat,51.682364,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.88,0.98,2.3,1.49,4.38,4.28,0.86,3.79,1.8,1.61,2.87,3.74,2.65,2.8,3.81,,,,,,,,
February,,,,,,,,,1.41,0.35,4.01,1.93,2.3,0.96,3.49,4.67,4.05,0.95,1.26,2.85,0.63,0.32,3.13,,,,,,,,
March,,,,,,,,,3.45,3.54,1.25,2.01,4.26,2.4,4.54,1.42,4.71,1.76,0.86,4,1.66,1.51,2.53,,,,,,,,
April,,,,,,,,,3.61,2.4,1.82,1.52,0.09,3.18,0.91,1.09,1.54,1.68,4.3,2.75,3.98,1.34,3.8,,,,,,,,
May,,,,,,,,,1.99,1.85,2.2,2.06,1.82,1.64,1.39,3.01,1.74,1.91,2.67,0.3,1.09,1.4,1.19,,,,,,,,
June,,,,,,,,,1.33,4.57,4.94,1.82,2.08,0.5,1.86,1.19,3.34,2.86,1.02,1.21,3.3,0.36,1.24,,,,,,,,
July,,,,,,,,,2.28,2.79,1.83,0.13,2.46,-999,-999,4.21,1.73,4.63,3.83,1.59,5.13,0.11,4.61,,,,,,,,
August,,,,,,,,,1.85,3.28,-999,1.05,5.88,-999,-999,3,-999,-999,1.74,2.86,1.75,1.38,3.64,,,,,,,,
September,,,,,,,,,3.44,2.24,-999,1.38,3.14,-999,-999,2.34,-999,-999,5.69,1.78,1.94,2.51,2.61,,,,,,,,
October,,,,,,,2.75,,2.31,5.52,2.68,2.29,3.01,3.75,2.44,3.21,4.53,5.2,1.91,1.08,1.62,1.1,0.97,,,,,,,,
November,,,,,,,3.88,,1.21,0.89,3.57,3.26,2.25,2.68,2.74,2.29,4.87,1.28,2.31,2.2,1.35,1.66,1.53,,,,,,,,
December,,,,,,,2.88,,2.35,2.8,5.97,6.58,3.65,1.09,8.79,6.05,3.2,0.86,2.47,5.19,2.62,1.56,2.61,,,,,,,,
Total,,,,,,,,,27.11,31.21,34.41,25.52,35.32,24.32,31.53,36.27,36.97,30.12,30.93,29.55,27.72,16.05,31.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Aug Sep -999 (3.84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Jul-Sep -999 (3.84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Jul-Sep -999 (4.51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Aug Sep -999 (5.46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Aug Sep -999 (7.38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
