"HINDHEAD, STOATLEY HALL",,,,,,,,,,,,
Grid ref,SU895347,Long,-0.723035,Lat,51.104624,,,,,,,
Station no,RR8374,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,7.01,0.47,1.75,1.50,,
February,,,,,,,3.64,1.96,1.30,0.38,,
March,,,,,,,2.14,1.33,3.76,3.97,,
April,,,,,,,0.58,6.06,3.69,1.88,,
May,,,,,,,2.42,2.41,3.03,2.53,,
June,,,,,,,0.59,2.79,1.05,3.62,,
July,,,,,,,0.64,1.53,3.26,3.55,,
August,,,,,,,1.49,2.76,4.59,2.73,,
September,,,,,,,0.96,0.63,1.92,3.11,,
October,,,,,,,5.01,9.02,2.91,9.93,,
November,,,,,,,5.04,2.76,1.46,0.81,,
December,,,,,,,1.68,4.79,4.34,5.50,,
Total,,,,,,,31.20,36.51,33.06,39.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.20,36.51,33.06,39.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,,
