HINDHEAD-STOATLEY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU894347,Long,-0.72446276,Lat,51.104639,Elevation,800,ft.,,,,,,,,,,,,
Station no,RR8374,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,7.01,0.47,1.75,1.5,4.34,1.81,3.8,5.18,1.1,4.95,2.18,1.48,3.93,
February,,,,,,,3.64,1.96,1.3,0.38,5.92,1.9,3.43,1.38,6.59,6.38,4.87,1.02,2.24,
March,,,,,,,2.14,1.33,3.76,3.97,1.62,2.4,4.87,3.8,5.98,0.77,4.99,1.8,1.54,
April,,,,,,,0.58,6.06,3.69,1.88,2.79,2.35,0,4.34,1.82,1.57,1.09,2.42,3.91,
May,,,,,,,2.42,2.41,3.03,2.53,2.55,1.68,1.54,3.44,2.08,4.33,2.19,1.61,1.46,
June,,,,,,,0.59,2.79,1.05,3.62,4.09,2.47,3.84,0.67,1.07,2.48,2.9,2.08,1.08,
July,,,,,,,0.64,1.53,3.26,3.55,3.46,0.85,2.39,2.69,2.89,4.82,1.18,4.61,4.71,
August,,,,,,,1.49,2.76,4.59,2.73,3.65,1.29,6.29,1.45,1.9,2.11,3.65,6.52,1.27,
September,,,,,,,0.96,0.63,1.92,3.11,0.5,1.45,3.76,3.66,1.44,3.07,3.3,2.39,5.82,
October,,,,,,,5.01,9.02,2.91,9.93,4.29,5.56,5.35,5.34,2.57,2.26,6.41,5.29,1.68,
November,,,,,,,5.04,2.76,1.46,0.81,3.99,5.12,2.46,3.35,4.72,4.58,5.59,1.24,3.2,
December,,,,,,,1.68,4.79,4.34,5.5,6.4,9.49,5.5,1.88,10.84,8.32,3.95,1.62,3.1,
Total,,,,,,,31.2,36.51,33.06,39.51,43.6,36.37,43.23,37.18,43,45.64,42.3,32.08,33.94,
,,,,,,,,,,,,,,,,,,,,
NGR is Stoatley Hall. Stated altitude is 25 ft too high buts looks to be rounded to nearest 100 ft.,,,,,,,,,,,,,,,,,,,,
Gauge could be 150m N to match stated altitude,,,,,,,,,,,,,,,,,,,,
