KEADBY PUMPING STATION,,,,,,,,,,,,,,
Grid ref,SE835112,Long,-0.740,Lat,53.591,Elevation,20,ft,,,,,,
Station no,2587/1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.77,4.38,0.88,1.06,1.64,1.63,0.76,1.38,1.80,3.58,1.10,2.24,1.82,4.00
February,1.12,1.16,0.48,3.29,2.87,0.55,1.71,1.97,1.74,1.07,1.76,3.13,0.26,1.58
March,4.29,0.56,1.15,1.15,2.79,2.10,0.66,1.55,2.44,1.11,1.39,1.91,1.03,1.07
April,1.36,1.25,1.88,2.98,0.78,0.81,1.75,0.30,1.04,1.55,0.19,0.44,2.10,0.93
May,1.54,1.51,1.32,2.40,3.46,1.08,2.07,2.44,2.68,0.64,1.14,2.24,0.37,1.19
June,2.22,3.06,0.36,0.91,0.98,2.28,1.17,1.64,2.51,3.17,2.72,3.73,1.25,0.58
July,1.87,1.19,2.98,2.32,1.07,1.60,1.91,2.59,1.31,3.75,2.84,4.61,1.19,3.23
August,0.24,3.11,2.07,2.12,4.24,1.00,2.28,5.10,0.37,5.42,3.80,1.95,0.43,2.19
September,0.81,1.48,0.50,3.12,1.18,2.64,2.06,1.60,0.67,1.39,3.75,1.85,0.09,2.47
October,1.02,1.78,2.69,0.87,1.37,2.44,1.74,3.47,1.60,1.09,1.29,1.92,1.84,4.22
November,1.34,1.00,3.17,4.25,4.48,2.09,1.31,4.09,1.30,0.74,2.09,0.78,2.14,3.59
December,2.21,2.50,1.75,1.52,1.70,1.67,1.16,2.63,2.64,1.55,2.21,2.72,2.58,2.41
Total,19.79,22.98,19.23,25.99,26.56,19.89,18.58,28.76,20.10,25.06,24.28,27.52,15.10,27.46
,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/272,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/281,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,
